"","E","C","EC","NA."
"E",1,0.330882352941176,0.784313725490196,-0.91421568627451
"C",0.330882352941176,1,0.661764705882353,-0.519607843137255
"EC",0.784313725490196,0.661764705882353,1,-0.794117647058823
"NA.",-0.91421568627451,-0.519607843137255,-0.794117647058823,1
