"","E","C","EC","NA."
"E",NA,0.194542528266613,0.000387303286345286,1.71536613979839e-06
"C",0.194542528266613,NA,0.00571373989159052,0.0390446003901115
"EC",0.000387303286345286,0.00571373989159052,NA,0.000387303286345286
"NA.",1.71536613979839e-06,0.0390446003901115,0.000387303286345286,NA
