index,X,Y,EGFR,PDGFRA,CDK4
1 , 502 , 9, 1, 0, 0
2 , 526 , 16, 8, 0, 0
3 , 574 , 4, 1, 0, 0
4 , 483 , 17, 6, 0, 0
5 , 710 , 18, 2, 0, 0
6 , 240 , 19, 0, 2, 0
7 , 615 , 26, 4, 0, 0
8 , 433 , 23, 1, 0, 0
9 , 366 , 29, 0, 0, 1
10 , 22 , 34, 5, 0, 0
11 , 195 , 43, 0, 0, 0
12 , 396 , 34, 3, 0, 0
13 , 43 , 38, 4, 0, 0
14 , 423 , 39, 2, 0, 0
15 , 67 , 63, 5, 0, 0
16 , 443 , 54, 2, 0, 1
17 , 612 , 70, 10, 0, 1
18 , 223 , 69, 4, 1, 0
19 , 265 , 74, 14, 0, 0
20 , 431 , 73, 0, 0, 0
21 , 693 , 74, 0, 0, 1
22 , 718 , 82, 13, 0, 0
23 , 150 , 85, 5, 0, 0
24 , 201 , 78, 7, 3, 0
25 , 564 , 83, 1, 0, 2
26 , 743 , 85, 4, 0, 0
27 , 341 , 87, 1, 1, 0
28 , 414 , 93, 0, 1, 0
29 , 59 , 104, 8, 0, 0
30 , 475 , 96, 6, 0, 0
31 , 396 , 109, 11, 1, 0
32 , 684 , 111, 2, 0, 0
33 , 33 , 113, 5, 0, 0
34 , 133 , 118, 5, 0, 0
35 , 559 , 110, 1, 0, 0
36 , 602 , 111, 1, 0, 1
37 , 101 , 119, 10, 0, 0
38 , 714 , 118, 4, 0, 0
39 , 447 , 126, 10, 1, 0
40 , 576 , 124, 5, 0, 1
41 , 221 , 129, 4, 0, 1
42 , 379 , 140, 5, 1, 0
43 , 596 , 135, 1, 0, 1
44 , 627 , 142, 6, 0, 0
45 , 18 , 145, 9, 0, 0
46 , 431 , 154, 1, 1, 2
47 , 110 , 144, 0, 0, 0
48 , 401 , 151, 0, 1, 1
49 , 344 , 170, 14, 1, 0
50 , 226 , 154, 5, 0, 0
51 , 45 , 164, 8, 0, 0
52 , 116 , 161, 1, 0, 0
53 , 509 , 172, 0, 1, 1
54 , 100 , 181, 6, 1, 0
55 , 660 , 190, 1, 0, 0
56 , 689 , 186, 7, 1, 0
57 , 564 , 186, 2, 1, 0
58 , 482 , 188, 1, 0, 0
59 , 543 , 195, 1, 1, 0
60 , 239 , 197, 6, 3, 0
61 , 354 , 207, 16, 4, 0
62 , 117 , 204, 4, 0, 0
63 , 29 , 210, 14, 0, 0
64 , 442 , 210, 1, 1, 0
65 , 686 , 213, 0, 1, 0
66 , 719 , 214, 4, 0, 0
67 , 148 , 218, 2, 1, 0
68 , 412 , 223, 2, 3, 0
69 , 72 , 227, 4, 0, 0
70 , 103 , 232, 3, 1, 0
71 , 45 , 245, 9, 0, 0
72 , 719 , 246, 3, 0, 0
73 , 647 , 255, 4, 2, 0
74 , 139 , 240, 0, 2, 0
75 , 793 , 249, 2, 0, 0
76 , 679 , 263, 10, 0, 0
77 , 595 , 260, 0, 2, 0
78 , 621 , 256, 3, 1, 0
79 , 215 , 258, 2, 0, 0
80 , 178 , 264, 3, 2, 0
81 , 709 , 265, 1, 0, 0
82 , 152 , 281, 1, 0, 0
83 , 209 , 285, 0, 0, 0
84 , 29 , 284, 8, 2, 0
85 , 186 , 292, 1, 0, 0
86 , 664 , 311, 9, 2, 1
87 , 116 , 332, 10, 0, 0
88 , 716 , 324, 3, 1, 0
89 , 759 , 331, 9, 0, 0
90 , 82 , 340, 4, 1, 0
91 , 696 , 350, 4, 1, 0
92 , 632 , 369, 6, 4, 0
93 , 57 , 365, 3, 0, 0
94 , 120 , 376, 0, 0, 0
95 , 147 , 368, 0, 0, 0
96 , 97 , 379, 0, 1, 0
97 , 649 , 392, 2, 0, 0
98 , 703 , 398, 5, 0, 2
99 , 95 , 408, 7, 0, 0
