index,X,Y,EGFR,PDGFRA,CDK4
1 , 671 , 15, 3, 0, 0
2 , 617 , 15, 3, 1, 0
3 , 706 , 28, 4, 0, 0
4 , 114 , 32, 1, 0, 0
5 , 195 , 48, 0, 1, 0
6 , 729 , 44, 4, 0, 0
7 , 337 , 45, 0, 0, 0
8 , 472 , 41, 0, 1, 0
9 , 559 , 53, 1, 0, 1
10 , 82 , 63, 3, 0, 0
11 , 441 , 66, 0, 0, 0
12 , 534 , 79, 1, 0, 2
13 , 593 , 91, 7, 0, 0
14 , 150 , 90, 0, 0, 0
15 , 680 , 94, 0, 0, 0
16 , 437 , 103, 1, 0, 3
17 , 601 , 116, 3, 0, 1
18 , 73 , 113, 2, 0, 0
19 , 510 , 121, 1, 1, 1
20 , 375 , 115, 0, 0, 2
21 , 164 , 125, 6, 0, 1
22 , 11 , 126, 0, 0, 0
23 , 351 , 136, 0, 1, 0
24 , 414 , 134, 0, 0, 0
25 , 480 , 136, 1, 0, 0
26 , 26 , 136, 0, 0, 0
27 , 136 , 137, 0, 0, 0
28 , 83 , 146, 2, 0, 0
29 , 743 , 138, 0, 0, 0
30 , 367 , 153, 1, 0, 1
31 , 450 , 156, 0, 0, 2
32 , 320 , 153, 2, 0, 0
33 , 543 , 160, 0, 1, 1
34 , 715 , 172, 0, 8, 0
35 , 115 , 176, 0, 0, 1
36 , 11 , 174, 2, 0, 0
37 , 172 , 175, 0, 0, 6
38 , 272 , 192, 0, 2, 0
39 , 225 , 185, 2, 0, 0
40 , 344 , 191, 1, 1, 0
41 , 689 , 194, 0, 1, 0
42 , 304 , 200, 5, 1, 0
43 , 388 , 195, 1, 0, 0
44 , 530 , 200, 2, 0, 0
45 , 643 , 220, 0, 0, 0
46 , 437 , 225, 0, 0, 4
47 , 200 , 221, 0, 0, 1
48 , 267 , 226, 5, 1, 1
49 , 311 , 228, 1, 0, 1
50 , 539 , 236, 0, 0, 4
51 , 10 , 237, 0, 0, 0
52 , 165 , 233, 1, 0, 2
53 , 213 , 240, 4, 0, 1
54 , 321 , 250, 0, 0, 0
55 , 246 , 264, 0, 2, 0
56 , 221 , 268, 5, 0, 0
57 , 34 , 280, 1, 0, 0
58 , 368 , 267, 0, 0, 0
59 , 794 , 271, 3, 0, 0
60 , 288 , 288, 0, 0, 0
61 , 158 , 284, 2, 1, 0
62 , 716 , 289, 0, 5, 0
63 , 784 , 284, 3, 0, 0
64 , 469 , 289, 3, 0, 5
65 , 429 , 291, 0, 0, 6
66 , 224 , 295, 7, 2, 0
67 , 448 , 307, 2, 0, 1
68 , 791 , 308, 2, 0, 0
69 , 479 , 312, 4, 0, 1
70 , 581 , 315, 4, 1, 0
71 , 275 , 319, 6, 1, 0
72 , 178 , 322, 1, 6, 0
73 , 738 , 332, 1, 10, 0
74 , 627 , 343, 0, 3, 0
75 , 38 , 349, 6, 0, 0
76 , 180 , 361, 2, 0, 5
77 , 435 , 362, 5, 0, 1
78 , 405 , 356, 5, 0, 2
79 , 128 , 365, 0, 0, 0
80 , 268 , 365, 1, 0, 0
81 , 82 , 366, 3, 2, 1
82 , 319 , 377, 7, 0, 1
83 , 14 , 377, 1, 0, 0
84 , 100 , 378, 1, 1, 0
85 , 478 , 377, 1, 0, 2
86 , 559 , 383, 0, 0, 0
87 , 791 , 386, 0, 0, 1
88 , 206 , 391, 3, 0, 0
89 , 91 , 397, 0, 0, 1
90 , 393 , 398, 6, 0, 1
91 , 135 , 406, 5, 0, 0
92 , 297 , 395, 0, 0, 3
93 , 753 , 413, 0, 0, 0
94 , 479 , 410, 1, 0, 2
95 , 298 , 419, 0, 0, 0
96 , 111 , 423, 3, 0, 0
97 , 710 , 425, 1, 1, 13
98 , 257 , 429, 0, 0, 0
99 , 775 , 436, 0, 1, 6
100 , 472 , 432, 0, 0, 0
101 , 133 , 452, 5, 0, 3
102 , 679 , 449, 0, 1, 7
103 , 381 , 449, 0, 0, 4
104 , 348 , 461, 3, 0, 8
105 , 4 , 462, 3, 0, 0
106 , 607 , 464, 5, 2, 3
107 , 513 , 471, 0, 5, 0
108 , 715 , 464, 2, 1, 0
109 , 268 , 471, 5, 1, 1
110 , 307 , 474, 0, 0, 12
111 , 488 , 475, 0, 2, 0
112 , 204 , 484, 3, 0, 0
113 , 235 , 482, 0, 0, 2
114 , 793 , 490, 1, 0, 4
115 , 11 , 507, 1, 0, 0
116 , 544 , 499, 0, 1, 0
117 , 274 , 498, 1, 0, 0
118 , 672 , 514, 10, 0, 1
119 , 346 , 515, 1, 0, 0
120 , 709 , 514, 2, 0, 0
121 , 386 , 525, 3, 0, 0
122 , 615 , 526, 0, 0, 2
123 , 320 , 526, 2, 0, 0
