index,X,Y,EGFR,PDGFRA,CDK4
1 , 339 , 14, 0, 0, 14
2 , 377 , 16, 1, 0, 6
3 , 263 , 33, 17, 0, 1
4 , 320 , 42, 1, 0, 7
5 , 296 , 55, 4, 0, 1
6 , 321 , 77, 2, 0, 13
7 , 350 , 80, 0, 0, 7
8 , 413 , 89, 8, 0, 7
9 , 519 , 108, 10, 0, 8
10 , 362 , 109, 0, 0, 7
11 , 465 , 118, 1, 0, 3
12 , 535 , 128, 1, 0, 9
13 , 503 , 130, 3, 1, 7
14 , 411 , 133, 6, 0, 7
15 , 295 , 139, 1, 0, 12
16 , 486 , 146, 2, 0, 4
17 , 766 , 142, 2, 0, 3
18 , 383 , 159, 1, 0, 16
19 , 264 , 152, 1, 0, 8
20 , 317 , 149, 6, 0, 5
21 , 424 , 165, 4, 0, 9
22 , 506 , 162, 0, 0, 5
23 , 348 , 175, 0, 0, 9
24 , 257 , 180, 1, 0, 24
25 , 548 , 190, 0, 0, 18
26 , 283 , 195, 0, 6, 27
27 , 367 , 203, 0, 0, 15
28 , 236 , 211, 0, 1, 18
29 , 429 , 209, 3, 0, 18
30 , 769 , 209, 1, 0, 0
31 , 287 , 234, 3, 1, 15
32 , 341 , 236, 2, 0, 5
33 , 373 , 251, 0, 0, 38
34 , 548 , 231, 0, 0, 9
35 , 309 , 243, 0, 1, 17
36 , 421 , 240, 1, 0, 18
37 , 466 , 251, 0, 0, 20
38 , 223 , 251, 6, 0, 4
39 , 439 , 265, 0, 0, 10
40 , 488 , 267, 1, 0, 12
41 , 244 , 263, 0, 0, 8
42 , 512 , 266, 3, 0, 6
43 , 468 , 276, 0, 0, 3
44 , 269 , 279, 0, 0, 10
45 , 415 , 280, 1, 1, 7
46 , 584 , 280, 0, 0, 6
47 , 362 , 296, 1, 1, 25
48 , 503 , 291, 3, 0, 13
49 , 606 , 294, 6, 0, 8
50 , 226 , 289, 2, 0, 6
51 , 332 , 306, 2, 0, 9
52 , 633 , 303, 3, 0, 8
53 , 579 , 320, 6, 0, 11
54 , 308 , 321, 0, 1, 13
55 , 484 , 321, 3, 0, 15
56 , 508 , 320, 2, 0, 13
57 , 363 , 331, 0, 1, 13
58 , 665 , 335, 0, 0, 14
59 , 562 , 339, 5, 0, 7
60 , 341 , 338, 3, 0, 10
61 , 479 , 340, 0, 2, 6
62 , 530 , 350, 4, 1, 13
63 , 313 , 354, 2, 0, 10
64 , 554 , 361, 9, 0, 5
65 , 269 , 364, 0, 4, 4
66 , 579 , 374, 10, 0, 10
67 , 640 , 380, 14, 0, 3
68 , 610 , 379, 4, 0, 9
69 , 295 , 376, 0, 1, 11
70 , 361 , 382, 4, 0, 5
71 , 249 , 392, 9, 2, 4
72 , 489 , 394, 6, 0, 8
73 , 507 , 405, 11, 1, 11
74 , 350 , 402, 2, 0, 4
75 , 550 , 415, 10, 0, 3
76 , 443 , 414, 1, 0, 6
77 , 276 , 417, 6, 1, 6
78 , 591 , 413, 4, 0, 1
79 , 254 , 422, 7, 0, 3
80 , 318 , 427, 0, 1, 12
81 , 524 , 439, 16, 0, 4
82 , 296 , 437, 9, 0, 3
83 , 461 , 446, 3, 0, 2
84 , 260 , 443, 4, 0, 5
85 , 233 , 462, 5, 0, 0
86 , 256 , 473, 5, 2, 2
87 , 371 , 463, 3, 0, 4
88 , 791 , 517, 0, 0, 4
89 , 607 , 524, 0, 0, 9
90 , 219 , 530, 6, 1, 1
91 , 654 , 537, 7, 0, 0
92 , 197 , 534, 3, 1, 6
93 , 283 , 547, 7, 0, 1
94 , 629 , 555, 12, 0, 0
95 , 233 , 577, 5, 4, 2
96 , 583 , 587, 0, 1, 0
97 , 767 , 643, 4, 0, 2
98 , 461 , 665, 4, 0, 4
99 , 267 , 736, 9, 0, 3
100 , 493 , 754, 0, 0, 6
101 , 356 , 751, 1, 1, 4
102 , 627 , 767, 2, 0, 0
103 , 498 , 780, 0, 0, 0
104 , 298 , 786, 0, 0, 12
105 , 517 , 787, 0, 0, 13
106 , 236 , 789, 4, 2, 1
107 , 266 , 786, 5, 1, 4
