index,X,Y,EGFR,PDGFRA,CDK4
1 , 296 , 8, 3, 1, 0
2 , 395 , 8, 3, 1, 1
3 , 537 , 16, 8, 0, 0
4 , 303 , 27, 4, 0, 1
5 , 502 , 105, 28, 0, 0
6 , 417 , 108, 13, 0, 1
7 , 443 , 107, 4, 0, 0
8 , 171 , 113, 1, 0, 0
9 , 450 , 123, 3, 1, 0
10 , 375 , 133, 7, 0, 0
11 , 502 , 140, 12, 0, 0
12 , 531 , 174, 43, 1, 5
13 , 199 , 150, 3, 0, 0
14 , 338 , 156, 8, 1, 0
15 , 118 , 166, 3, 0, 6
16 , 36 , 174, 3, 0, 8
17 , 574 , 174, 2, 1, 5
18 , 280 , 182, 25, 0, 2
19 , 253 , 195, 20, 0, 0
20 , 11 , 190, 5, 1, 0
21 , 183 , 191, 8, 0, 0
22 , 111 , 202, 13, 0, 2
23 , 552 , 206, 12, 0, 0
24 , 722 , 199, 6, 0, 0
25 , 588 , 197, 6, 0, 0
26 , 210 , 209, 16, 0, 4
27 , 131 , 208, 8, 0, 7
28 , 276 , 208, 5, 0, 1
29 , 89 , 209, 2, 0, 0
30 , 508 , 218, 5, 0, 0
31 , 284 , 223, 6, 0, 0
32 , 66 , 235, 12, 0, 0
33 , 410 , 240, 1, 0, 0
34 , 240 , 233, 7, 0, 0
35 , 109 , 238, 24, 0, 0
36 , 143 , 247, 10, 1, 5
37 , 506 , 251, 3, 1, 0
38 , 288 , 254, 7, 0, 6
39 , 233 , 263, 23, 0, 8
40 , 94 , 263, 12, 0, 5
41 , 642 , 277, 14, 2, 3
42 , 668 , 274, 8, 1, 1
43 , 159 , 278, 4, 0, 13
44 , 185 , 289, 32, 0, 0
45 , 323 , 283, 21, 1, 0
46 , 76 , 283, 12, 0, 5
47 , 22 , 275, 1, 0, 5
48 , 210 , 297, 16, 0, 1
49 , 243 , 290, 4, 0, 0
50 , 409 , 305, 42, 4, 8
51 , 574 , 297, 2, 0, 0
52 , 267 , 294, 10, 0, 0
53 , 67 , 307, 2, 2, 7
54 , 124 , 308, 3, 0, 9
55 , 282 , 323, 14, 0, 1
56 , 597 , 319, 3, 0, 0
57 , 728 , 325, 2, 0, 0
58 , 433 , 323, 13, 0, 0
59 , 211 , 337, 25, 0, 2
60 , 672 , 339, 32, 1, 6
61 , 496 , 333, 21, 3, 1
62 , 313 , 326, 6, 0, 0
63 , 572 , 329, 6, 1, 0
64 , 123 , 329, 0, 0, 8
65 , 524 , 344, 20, 2, 0
66 , 337 , 339, 4, 0, 0
67 , 735 , 338, 1, 0, 0
68 , 110 , 347, 16, 0, 15
69 , 11 , 339, 4, 0, 3
70 , 433 , 347, 1, 0, 0
71 , 454 , 342, 0, 0, 0
72 , 163 , 352, 20, 0, 1
73 , 642 , 367, 16, 1, 0
74 , 309 , 354, 10, 0, 1
75 , 392 , 368, 26, 4, 0
76 , 10 , 367, 9, 0, 5
77 , 344 , 370, 29, 2, 1
