index,X,Y,EGFR,PDGFRA,CDK4
1 , 334 , 12, 6, 0, 0
2 , 347 , 60, 28, 0, 2
3 , 268 , 67, 7, 1, 0
4 , 295 , 69, 3, 1, 0
5 , 364 , 80, 9, 0, 0
6 , 353 , 100, 17, 0, 0
7 , 386 , 104, 7, 0, 0
8 , 453 , 108, 5, 0, 0
9 , 483 , 109, 9, 0, 0
10 , 384 , 137, 36, 0, 6
11 , 132 , 139, 27, 3, 2
12 , 427 , 135, 6, 1, 11
13 , 677 , 132, 12, 0, 0
14 , 106 , 158, 18, 0, 0
15 , 405 , 165, 12, 0, 1
16 , 439 , 156, 6, 0, 0
17 , 63 , 168, 11, 0, 4
18 , 129 , 167, 7, 0, 1
19 , 356 , 173, 10, 1, 0
20 , 136 , 183, 7, 0, 0
21 , 92 , 193, 4, 0, 0
22 , 784 , 196, 4, 1, 2
23 , 220 , 196, 1, 0, 0
24 , 357 , 208, 2, 0, 1
25 , 143 , 214, 10, 0, 5
26 , 85 , 221, 15, 0, 9
27 , 39 , 244, 19, 0, 0
28 , 513 , 233, 19, 3, 3
29 , 487 , 241, 9, 0, 0
30 , 11 , 235, 8, 0, 5
31 , 160 , 241, 6, 0, 2
32 , 183 , 243, 9, 0, 1
33 , 244 , 257, 22, 0, 2
34 , 60 , 258, 15, 0, 0
35 , 284 , 270, 30, 0, 3
36 , 426 , 257, 2, 0, 0
37 , 118 , 253, 9, 0, 0
38 , 534 , 254, 0, 0, 0
39 , 134 , 283, 16, 0, 3
40 , 515 , 305, 63, 2, 16
41 , 443 , 277, 3, 1, 0
42 , 583 , 289, 11, 0, 0
43 , 64 , 284, 10, 0, 1
44 , 347 , 291, 11, 0, 2
45 , 163 , 285, 5, 0, 0
46 , 178 , 285, 5, 0, 0
47 , 374 , 306, 27, 2, 0
48 , 419 , 288, 3, 0, 0
49 , 192 , 324, 41, 3, 2
50 , 295 , 303, 1, 0, 0
51 , 64 , 307, 17, 0, 0
52 , 454 , 329, 20, 0, 1
53 , 667 , 321, 12, 1, 3
54 , 27 , 320, 18, 0, 2
55 , 161 , 323, 18, 0, 1
56 , 252 , 316, 6, 0, 0
57 , 140 , 343, 21, 0, 0
58 , 13 , 351, 28, 0, 3
59 , 292 , 336, 10, 0, 1
60 , 241 , 337, 9, 0, 2
61 , 90 , 343, 10, 0, 2
62 , 316 , 347, 7, 0, 0
63 , 557 , 348, 27, 0, 2
64 , 526 , 359, 17, 4, 4
65 , 426 , 352, 3, 0, 0
66 , 113 , 364, 9, 0, 12
67 , 248 , 360, 9, 1, 2
68 , 415 , 370, 13, 1, 2
69 , 232 , 378, 6, 2, 0
70 , 69 , 408, 71, 0, 48
71 , 146 , 379, 10, 0, 1
72 , 187 , 390, 18, 0, 2
73 , 289 , 389, 13, 0, 0
74 , 13 , 413, 6, 0, 18
75 , 215 , 404, 21, 0, 1
76 , 261 , 411, 2, 0, 0
77 , 310 , 425, 16, 0, 3
78 , 545 , 432, 36, 1, 2
79 , 627 , 425, 14, 0, 7
80 , 196 , 427, 9, 0, 2
81 , 250 , 437, 27, 1, 4
82 , 288 , 446, 7, 0, 2
83 , 494 , 441, 13, 0, 1
84 , 472 , 442, 8, 0, 0
85 , 676 , 441, 2, 0, 3
86 , 111 , 449, 15, 0, 1
87 , 662 , 487, 42, 2, 30
88 , 211 , 460, 11, 0, 5
89 , 635 , 462, 2, 0, 11
90 , 461 , 471, 26, 0, 1
91 , 247 , 473, 20, 4, 4
92 , 114 , 474, 6, 0, 2
93 , 310 , 480, 4, 0, 0
94 , 493 , 478, 6, 0, 5
95 , 435 , 483, 12, 0, 2
96 , 93 , 487, 11, 0, 0
97 , 410 , 487, 12, 1, 4
98 , 274 , 489, 5, 0, 0
99 , 380 , 498, 15, 1, 0
100 , 64 , 495, 13, 0, 0
101 , 11 , 496, 7, 0, 0
102 , 505 , 496, 0, 0, 0
103 , 300 , 501, 2, 0, 0
104 , 425 , 513, 5, 0, 1
