index,X,Y,EGFR,PDGFRA,CDK4
1 , 252 , 8, 2, 0, 0
2 , 313 , 7, 0, 0, 0
3 , 218 , 59, 1, 1, 0
4 , 279 , 75, 4, 0, 0
5 , 241 , 74, 2, 0, 2
6 , 64 , 77, 1, 0, 0
7 , 223 , 97, 11, 1, 2
8 , 187 , 84, 4, 0, 0
9 , 415 , 87, 5, 2, 2
10 , 383 , 100, 1, 0, 0
11 , 176 , 142, 17, 1, 6
12 , 216 , 130, 10, 0, 1
13 , 416 , 124, 10, 1, 2
14 , 244 , 157, 12, 0, 17
15 , 440 , 154, 6, 0, 2
16 , 309 , 142, 4, 0, 1
17 , 339 , 160, 1, 0, 10
18 , 112 , 165, 3, 0, 2
19 , 144 , 166, 2, 0, 5
20 , 64 , 176, 8, 1, 0
21 , 547 , 174, 2, 0, 0
22 , 528 , 175, 0, 0, 0
23 , 416 , 197, 0, 0, 11
24 , 144 , 204, 2, 1, 0
25 , 169 , 195, 2, 1, 0
26 , 358 , 209, 0, 1, 2
27 , 349 , 221, 0, 0, 0
28 , 429 , 232, 0, 0, 9
29 , 339 , 249, 2, 3, 7
30 , 465 , 248, 0, 0, 5
31 , 424 , 268, 2, 0, 2
32 , 451 , 271, 1, 1, 8
33 , 393 , 278, 4, 0, 0
34 , 326 , 291, 0, 0, 0
35 , 350 , 291, 7, 1, 1
36 , 469 , 296, 0, 0, 6
37 , 524 , 303, 0, 0, 0
38 , 494 , 302, 0, 0, 5
39 , 429 , 310, 0, 0, 8
40 , 346 , 310, 0, 0, 1
41 , 360 , 315, 0, 1, 3
42 , 468 , 323, 1, 0, 5
43 , 370 , 338, 2, 0, 2
44 , 494 , 342, 0, 1, 3
45 , 406 , 344, 0, 0, 10
46 , 640 , 343, 2, 0, 0
47 , 523 , 359, 0, 0, 9
48 , 276 , 374, 3, 2, 0
49 , 353 , 370, 0, 0, 2
50 , 422 , 385, 2, 0, 1
51 , 324 , 394, 4, 0, 1
52 , 538 , 389, 1, 0, 7
53 , 456 , 404, 5, 0, 3
54 , 213 , 398, 1, 0, 0
55 , 431 , 405, 3, 0, 0
56 , 672 , 406, 1, 2, 0
57 , 546 , 413, 6, 1, 0
58 , 222 , 415, 5, 0, 0
59 , 476 , 430, 2, 0, 5
60 , 665 , 427, 0, 1, 0
61 , 592 , 433, 0, 0, 6
62 , 539 , 446, 0, 0, 1
63 , 497 , 457, 7, 2, 3
64 , 285 , 443, 4, 0, 0
65 , 367 , 458, 3, 0, 6
66 , 604 , 465, 0, 0, 7
67 , 559 , 466, 6, 0, 0
68 , 722 , 461, 2, 0, 0
69 , 522 , 504, 5, 0, 23
70 , 465 , 481, 2, 0, 0
71 , 726 , 485, 3, 1, 0
72 , 607 , 497, 0, 2, 15
73 , 581 , 505, 4, 0, 2
74 , 415 , 511, 0, 0, 12
75 , 653 , 512, 0, 0, 1
76 , 563 , 511, 1, 0, 0
77 , 635 , 518, 0, 0, 3
78 , 471 , 547, 21, 3, 25
79 , 666 , 532, 4, 1, 1
80 , 587 , 535, 4, 0, 2
81 , 640 , 536, 3, 1, 0
82 , 637 , 553, 5, 0, 0
83 , 534 , 585, 2, 1, 23
84 , 654 , 564, 5, 1, 1
85 , 709 , 573, 1, 0, 3
86 , 740 , 585, 6, 1, 3
87 , 635 , 599, 3, 0, 6
88 , 661 , 604, 6, 0, 0
89 , 573 , 615, 7, 1, 7
90 , 647 , 628, 4, 0, 1
91 , 760 , 633, 1, 2, 3
92 , 749 , 658, 8, 4, 1
93 , 713 , 653, 9, 0, 0
94 , 589 , 652, 0, 0, 4
95 , 633 , 667, 3, 0, 1
96 , 706 , 683, 0, 0, 3
97 , 678 , 704, 0, 0, 6
98 , 710 , 705, 3, 0, 18
99 , 732 , 720, 0, 0, 4
