index,X,Y,EGFR,PDGFRA,CDK4
1 , 305 , 15, 1, 0, 0
2 , 644 , 12, 2, 0, 0
3 , 73 , 20, 0, 0, 0
4 , 95 , 22, 6, 0, 1
5 , 601 , 24, 2, 0, 1
6 , 225 , 24, 2, 1, 1
7 , 192 , 34, 0, 1, 0
8 , 704 , 48, 3, 1, 1
9 , 10 , 57, 0, 0, 0
10 , 180 , 56, 0, 0, 0
11 , 224 , 77, 7, 2, 2
12 , 612 , 59, 1, 0, 2
13 , 479 , 63, 0, 0, 0
14 , 647 , 69, 0, 0, 0
15 , 773 , 75, 0, 0, 0
16 , 582 , 79, 5, 0, 1
17 , 293 , 87, 2, 0, 1
18 , 627 , 92, 3, 1, 3
19 , 558 , 91, 6, 0, 2
20 , 446 , 87, 2, 0, 0
21 , 590 , 105, 2, 0, 1
22 , 79 , 104, 0, 0, 0
23 , 98 , 100, 0, 1, 0
24 , 730 , 108, 0, 0, 0
25 , 347 , 115, 2, 1, 0
26 , 34 , 137, 3, 2, 2
27 , 693 , 122, 4, 1, 4
28 , 545 , 127, 3, 5, 3
29 , 151 , 137, 6, 1, 1
30 , 652 , 132, 0, 1, 0
31 , 471 , 137, 2, 0, 5
32 , 436 , 141, 5, 0, 3
33 , 342 , 136, 3, 0, 0
34 , 497 , 152, 0, 0, 8
35 , 345 , 162, 3, 11, 0
36 , 13 , 175, 1, 1, 0
37 , 64 , 179, 1, 3, 0
38 , 210 , 165, 0, 0, 1
39 , 607 , 169, 2, 0, 1
40 , 715 , 180, 2, 0, 0
41 , 146 , 196, 8, 2, 0
42 , 475 , 177, 0, 3, 9
43 , 318 , 183, 4, 2, 1
44 , 561 , 196, 1, 4, 1
45 , 677 , 178, 2, 0, 3
46 , 774 , 183, 2, 0, 0
47 , 181 , 197, 1, 1, 0
48 , 629 , 184, 2, 0, 2
49 , 259 , 192, 3, 0, 0
50 , 521 , 195, 2, 0, 0
51 , 285 , 201, 2, 0, 0
52 , 387 , 196, 3, 2, 0
53 , 785 , 202, 0, 0, 0
54 , 230 , 214, 4, 4, 2
55 , 607 , 213, 4, 0, 2
56 , 116 , 219, 7, 1, 0
57 , 334 , 222, 3, 2, 0
58 , 386 , 217, 2, 0, 0
59 , 473 , 226, 4, 17, 1
60 , 527 , 230, 7, 2, 0
61 , 292 , 224, 4, 1, 1
62 , 595 , 237, 3, 0, 2
63 , 76 , 236, 0, 2, 0
64 , 425 , 235, 2, 1, 0
65 , 94 , 241, 5, 1, 0
66 , 366 , 245, 3, 0, 1
67 , 664 , 245, 2, 1, 1
68 , 702 , 249, 0, 2, 0
69 , 276 , 243, 3, 6, 1
70 , 222 , 245, 2, 1, 0
71 , 27 , 242, 3, 0, 0
72 , 142 , 256, 0, 1, 1
73 , 115 , 250, 3, 3, 0
74 , 197 , 253, 2, 0, 0
75 , 59 , 261, 3, 5, 0
76 , 473 , 262, 2, 0, 0
77 , 577 , 268, 3, 1, 8
78 , 316 , 264, 2, 2, 2
79 , 540 , 255, 2, 0, 0
