"","ROI_01","ROI_02","ROI_03","ROI_04","ROI_05","ROI_06","ROI_07","ROI_08","ROI_09","ROI_10","ROI_11","ROI_12","ROI_13","ROI_14","ROI_15","ROI_16","ROI_17","ROI_18","ROI_19","ROI_20","ROI_21","ROI_22","ROI_23","ROI_24","ROI_25","ROI_26","ROI_27","ROI_28","ROI_29","ROI_30","ROI_31","ROI_32","ROI_33","ROI_34","ROI_35","ROI_36","ROI_37","ROI_38","ROI_39","ROI_40","ROI_41","ROI_42","ROI_43","ROI_44","ROI_45","ROI_46","ROI_47","ROI_48","ROI_49","ROI_50","ROI_51","ROI_52","ROI_53","ROI_54","ROI_55","ROI_56","ROI_57","ROI_58","ROI_59","ROI_60","ROI_61","ROI_62","ROI_63","ROI_64","ROI_65","ROI_66","ROI_67","ROI_68","ROI_69","ROI_70","ROI_71","ROI_72","ROI_73","ROI_74","ROI_75","ROI_76","ROI_77","ROI_78","ROI_79","ROI_80","ROI_81","ROI_82","ROI_83","ROI_84","ROI_85","ROI_86","ROI_87","ROI_88","ROI_89","ROI_90","ROI_91","ROI_92","ROI_93","ROI_94","ROI_95","ROI_96"
"AB-42",8.13743972805171,8.80602432688446,5.86967479797428,5.27664034362401,5.80541192815504,9.984940349826,8.67359422421538,9.67497090081732,6.23820676861134,6.71829331491243,6.75857938903101,10.3508387659654,2.19009425992251,6.57929379111642,8.59090525525786,9.38291034962768,11.0606529322993,6.67478429126435,14.7797325733044,0.769110503360303,8.58541169095412,11.3963043725058,11.5020815669168,2.83887748179629,7.78331775266037,15.0805409682197,11.1037184173852,1.01001227508849,14.9268001533737,13.6407064057426,4.81789592356016,4.99763593889374,7.69822274788965,11.347757902061,5.44382299024875,3.60339219261413,4.73446939849342,5.02628884939878,15.776942890466,0.694250783539357,0.128691534963831,11.2268636222114,9.54035746054744,14.1387936094474,11.8201895100154,7.5112495322193,10.9131889599223,7.9218751799265,3.88443692899951,8.13628772672236,12.0720934744541,6.69470980455678,5.21643751724759,7.30114170614375,7.4721380144236,2.92603303388386,0.668413492649395,7.04942761116611,11.3403235784126,12.6382528128261,7.03373083200344,6.22222282316788,6.18118643731937,9.77487167096972,4.72221144374457,7.04421756699034,5.1158943849224,3.02797150038245,6.48086509404994,5.93978445450625,6.6227120877633,16.5871742853716,7.00729774811272,6.24811543806345,5.75807481401243,7.93928024351487,5.52309747471098,0.99693912707048,5.61360536034077,4.90084913337159,10.4225926767853,8.00460996170701,3.58787414587161,2.46972978241393,4.30082053016022,8.42781509048036,4.91715036422047,6.16327716739041,2.13703323445228,5.86477395331644,5.10485689899957,5.73728712988572,5.16781651663974,5.73198680564973,9.06387496223289,9.92142704932446
"Amyloid-Beta 40",0.306687426947472,0.45277564749285,0.299091709492292,0.335707950156628,0.317070612470149,0.236764734433861,0.343282093320153,0.287971146327176,0.319625435181562,0.282503792497612,0.295417649261214,0.550082000402111,0.231406186046705,0.437242736551809,0.218644648690616,0.405828629775521,0.272669533183841,0.244986971938414,0.508953183228011,0.298063585999941,0.401920437529521,0.396452575742649,0.350935355847397,0.218158548868506,0.252726305470529,0.429146623414192,0.293254908258375,0.594369363704,0.263142869381519,0.394774138501392,0.418816232677119,0.496604434551383,0.457820298953905,0.425551425019638,0.703679084897116,0.246486110915719,0.179887859898752,0.220785543540529,0.434809722368571,0.769712825087092,0.262530731394344,0.298373824338527,0.370272661586015,0.282536962399604,0.221534889647036,0.427684287709416,0.289032635099321,0.352556543970233,0.23749707718716,0.275190604683655,0.318887104238349,0.442031163723738,0.380701988769087,0.360757493407748,0.298114927766722,0.198797185608518,0.236378025587001,0.301449054838394,0.265618486146018,0.320201961047523,0.212013884307761,0.169603225091209,0.208389747960206,0.169340136580748,0.220477134366041,0.210093745470597,0.130823678723282,0.0464042935289399,0.23017394191124,0.345685244513599,0.296842485676297,0.165040044938865,0.341248885716217,0.153162898590076,0.240385124151119,0.208661147469236,0.178041762677424,0.151981497216606,0.113028651694969,0.102930414500239,0.367716330222364,0.406581186485136,0.468817779518302,0.0916423465045128,0.250117300226716,0.587197922016697,0.230061540274374,0.326976957187777,0.265619949972052,0.252995247053011,0.321934491064952,0.46390567741939,0.382328087036564,0.386861574396618,0.439081524943287,0.57247561317129
"ApoA1",515.786914566775,123.774077486554,938.540437420402,90.5292439174556,115.594886146443,65.0694804627022,181.989857475588,643.525252425039,193.715056852693,101.489487453873,130.956482317601,9.11896499184298,50.2977874400737,51.993743196863,1596.12582841027,414.000436184218,846.429677042772,34.0308800509986,26.3244283137311,6.62925350941547,163.550186844036,429.585098009887,1538.11147100274,173.033525372282,68.0239881428127,43.7205687787857,121.633914216235,5.86056505597503,103.079828478115,258.819069941073,112.976622052804,780.962291138718,175.640583665659,134.665598414402,509.270950900893,118.915228815453,167.755332695375,102.24985233788,559.714442060331,3.13922093378659,0.428542811438074,124.824470010626,369.904308237871,351.671653594066,87.0376373889895,173.017520085211,96.6830512950386,71.4864868615306,62.8481324073026,483.616741996694,244.394734050171,161.70711811474,115.091904862292,181.30951285638,90.9209170227204,93.6610194900025,3.77509611537627,690.821558576889,441.625587391839,209.424574408981,186.632910945979,160.725031041036,33.6588746663385,148.943350038654,8.73015524980329,9.55468786966194,49.2943621561147,48.9766260286943,348.047566458684,464.07133345345,247.038565911873,55.2338348998703,137.741472878014,91.5433489693758,67.3975652099557,293.854549649282,111.351812601303,8.35992884989857,133.491367854923,703.966888872995,40.1429296322622,163.54702521729,96.6081620083773,33.0224912266193,333.051030813357,231.555937803921,293.31067571557,98.5477812066853,69.5939360822218,91.3446667950206,207.717117385261,163.808114241511,153.989480656638,314.394137756241,182.198294624007,1067.27368497201
"APOE",42.0161774907241,16.9282650221818,28.6099913332263,6.51617739153955,17.4275597351617,23.4233801026697,26.9545099535191,51.1557101964978,23.1636594054329,8.26323592828475,22.0986812264635,10.0874192183625,15.1137165248685,11.3188189940353,92.4758518570557,23.6353051232842,89.9978300427569,11.1340549264159,8.97579624717923,6.66118889258496,23.0607339027444,25.9575294667249,58.395495604223,29.6949097721003,11.8949137611947,8.94272938258213,6.4117435595874,13.5707410613035,11.1691199762794,23.5066475961265,11.1980518580368,32.3867767103129,31.050574767876,5.58006556949935,44.8787850162851,25.7661712901119,22.6383987868073,5.39198626748445,39.4009224276372,3.29769122143689,1.78237775878068,8.79325211673526,7.12360855505547,29.2081673797732,13.0808207681219,14.9496063731155,12.859908761353,6.2540827479935,21.8777714745465,9.35733638326843,24.3902589937019,20.4233484881244,10.7490410396354,11.4260503946528,8.95346118652511,22.8252278925837,2.14726593016851,29.3003311727185,24.2746884564782,19.5327940013226,16.3469631067812,18.1723743883009,16.5012916607298,56.5291901744183,8.17744038027048,12.9992150802769,16.0238350063713,7.18791544990051,16.6514558603056,18.4025754263574,16.7231682474879,12.5313476683291,18.765846795441,14.1529287890007,10.928858192103,24.0139024960748,10.5258117210253,7.39030312439146,15.3916030297323,19.5351200501721,7.11685450280314,11.0706811989922,6.84624113314977,2.77087030789233,66.7252475046191,7.27897760366063,28.5084196818502,17.04731727576,6.93479357942787,12.9266551367463,6.92757021136603,36.3651268570663,28.8776327828563,34.4994230117755,22.4112064772834,79.4018297465095
"APP",83.3371968052079,69.237712771059,57.9770585585022,21.7951930736363,40.5435172498054,123.174812004051,45.0798044839362,42.6283258208501,52.4700053493076,38.8177867374192,54.7675500538788,196.383147933581,20.1674623297323,27.4411680907709,23.7940793869205,41.722938841533,36.3877622556304,151.949456443314,37.3045751844968,2.86087817004092,41.4058873790588,61.8650909280077,50.079324022335,34.570439207591,129.540739970321,39.5416085295467,55.4516157133828,3.47061831152034,31.9336820381869,60.488112478889,38.6723967214298,25.7567800371468,62.4144622923446,26.0953055580693,78.6439169758188,38.402692571464,47.2479669580168,40.1209370753117,67.233092751251,1.13193062521633,0.128691534963831,26.4938404567548,31.2131595616544,40.8112696671044,29.8024697192653,44.778678591815,96.6221549189085,33.1909581067126,105.114272551698,36.0641759116501,43.5541103942463,64.9915998712241,34.403228108934,33.2707429550944,30.9431104912676,110.956791984791,0.52340848522836,76.0632216321031,29.8723337399514,27.5944515686417,38.4751198691887,45.4391487236094,41.2971048959477,28.2004074939989,99.255587895613,65.5670063627008,28.89206518109,47.3206869680255,28.7788989653055,22.1388600197962,16.5380322701685,18.5897467993338,43.1134410594356,40.9324038511013,20.124340152234,51.1066818688744,39.7391807002904,15.164481220895,23.1074507081852,35.3614447957006,23.0521378307965,39.2257427352154,22.5266108890829,13.2814295915761,126.947130216787,37.8310959666864,90.7512136491402,58.5352346983489,33.9616234856553,24.4647041194699,86.5144863166277,65.7403297638213,89.3098793000235,32.5077075146807,101.41445129792,35.0013110567096
"Calbindin",4.06871986402585,10.737251067052,2.62639907401259,0.740279069595066,1.97414202774047,10.7850418693564,1.59282891291796,2.15763455908632,1.90673104435897,1.13001516971525,2.65515618946912,131.593560219054,2.05786215412961,8.02033421441537,2.98163096438922,1.9530187148058,1.79528475257648,128.870128709121,2.57054209527785,0.377902046627827,4.88321357791625,2.67615151935234,3.9374135087234,1.26367310387933,68.2765147203656,2.27481539491866,2.06237462815318,0.415642911384492,2.22393316454621,1.79564486856607,1.20645486862338,1.346495343851,1.83064178175468,3.32962478842593,1.29926782130016,1.2801627851078,3.96981033247956,2.0125320015159,1.99270738043217,0.682931477207182,0.155716757280688,2.02060508970074,3.30799229993326,2.66631273915389,2.12510600789129,1.70971492255653,2.55731759656602,1.52095559467591,1.90710757357582,4.94307539882841,2.98177646169365,1.9711937466747,1.33342198479876,6.28925611383112,1.74493556879043,0.903838569194364,0.0993184981201651,1.89022235138779,2.75975625055946,2.84197029469431,2.68057864547088,2.24838870042832,24.5040034216685,1.43302035486055,1.49572209794827,3.81696612080313,1.02524451369731,3.70540110795254,1.55268612272588,1.89308463847417,1.6060740807658,0.644565844972678,2.56756448602125,2.30463621199148,14.6968430219134,1.55370915967269,1.02244371448131,0.586967686181,2.89163079567512,1.07097136695796,1.42974130513318,1.45885854926066,1.0652674456861,0.249971801129629,1.26224184114141,2.15162720608938,2.11205981110899,1.23901479090601,0.671595896244297,1.31245267342586,1.90002505437026,2.64824261758359,2.25997873426228,1.54671499060602,3.32531904627219,2.82807032635015
"CD11b",4.60031140421208,9.58221114972196,9.51485500789979,2.80617414752253,5.01651004667906,7.16825643989993,5.04395822290258,29.2699030854788,4.68783971573147,5.56179341488273,7.20530851809435,7.20917325722387,1.10331163684605,5.32450016754151,7.28276728655598,6.26061482673265,50.1178438077913,7.98676568918214,5.3158315218519,0.569514352036421,12.1462192177463,6.85140142053924,10.6585082558453,8.81364870249793,6.5122961791942,5.51332592827419,5.00326983700464,1.20120801429231,9.8321871261323,14.6688515549599,9.35639237072681,4.12231764737965,7.41943832164956,5.38937771661327,33.4681564400105,3.43953761463562,4.36879237950244,5.05072563993224,6.54900172895847,0.596150129327271,0.914996813652452,3.640818833875,4.46242166275412,9.9224228515338,7.55645734980678,5.97798681209912,7.66762057088038,6.59219632435978,3.71244795128168,4.53827006079072,10.2084564107253,6.28443480229469,4.78869060608348,4.94637437062795,5.14076826100239,6.21808104175772,0.503544785633379,5.0790773234768,8.65176233554896,8.99206169008738,4.51092996152289,9.74912952917597,5.91344010577716,5.04054069155323,3.12255633895216,4.017352303948,4.40531524535527,3.55888046484818,4.94323907584397,3.83741799298619,3.38791015887536,8.96154448899214,4.42399340319863,4.74001091941884,4.87994895752376,4.41312541298235,3.99997612421404,2.17060406983442,4.2937297016351,5.28410506606968,4.98320531377638,8.35736885002043,3.7755680961887,1.61160510971323,17.8008545579453,5.20144816105912,27.7155374778289,6.46905626723741,3.86356290793999,5.74050676552711,6.07449401249973,6.73349483334699,6.31069463134599,39.921335512527,7.75067578891718,8.52593661050494
"CD163",2.98509095504629,23.6043957415851,3.74799298450591,1.8162660895575,20.922885765978,47.9407765682409,1.41432222426501,24.1294032175104,1.42912981924264,3.33707604851684,43.8334943769021,5.13668121450184,2.13224271409268,23.1130231774247,7.05684040348193,8.14958433469276,34.8252866318547,20.9140808116698,4.05848466811108,1.37322152176714,33.4528917097638,16.5455494776023,18.4932969126914,9.44581021743358,13.6881653529467,3.64909946314225,1.83920645068423,1.67919736285272,13.2233051060646,12.1516414535974,17.5821695667085,4.7510674046137,2.32682691027666,1.9111400457223,50.3804745579107,6.09031967588978,1.35675602334863,0.547520806281076,5.63769170567111,0.731981804313224,1.24959480455841,0.745386079771822,1.38699362730051,12.6958555331569,8.11404112103949,15.9193858049149,4.51613492353892,0.566330981997713,5.62173107022068,1.30295113062114,25.6114102769904,22.9819703756666,5.34478571670692,3.235426484816,0.502844456538545,2.14712089772198,0.4171376922209,3.4375854436481,5.63662910749624,7.70350574986957,16.3473152894355,19.2247547589146,0.860189244350129,1.54200909143514,0.577067371338409,1.20673680237647,10.3082173363171,0.116558816054696,5.33010219235081,1.63450272290832,5.97200211299468,19.7307322982897,14.3667748371024,12.7440839810028,0.734403126903189,0.865371646984249,0.662557355539911,0.303422135074966,0.804564670969072,2.27540160811341,2.2433859529083,2.34752640829441,2.65107278212408,4.48942643878761,15.0435790787975,2.61404020010991,14.8180977885803,1.474311012867,0.525203082810887,0.480181155125665,0.592479949431031,9.43938253671956,9.75712227903195,49.5892183377943,20.3797931563249,5.80394210173309
"CD31",7.15603996030839,6.06626964521416,6.75760331072223,2.89225310899308,3.91053755369194,5.41293168864224,5.03022693964645,5.63048062211125,5.13605009557147,4.29935459221923,5.60573002647984,5.97342566480357,0.545457438395798,4.29856125268443,4.78336233522501,4.594417183876,5.36557592920766,4.19771847944607,6.38870179964743,0.702578453082897,6.88932340754457,5.6896162813833,7.03937208006344,3.97538169946517,5.31584084911134,8.97167744694521,7.26522576099157,0.635933654787361,6.27466260635808,13.9052890758104,3.51371726725089,4.35231985538633,9.90835663526165,7.47728065968486,8.25089658036604,4.46789331994507,7.60487459182128,11.0139859558908,13.5727133682013,0.728208702035809,1.24187331244355,9.52547464641379,9.59570864900674,10.5985119888759,9.87003090752122,10.6519257819105,8.53332889645612,10.4156942610431,6.99643425312276,8.49915763064764,10.8837089563158,8.92737478000819,8.66953483316404,8.67233623314877,6.79133886332067,5.35472531414007,0.298948679427399,8.32323564868479,8.27051391070649,8.29742109125294,9.24256097941925,8.68223356620972,12.0225965224653,9.25774032160328,8.59273754706936,9.76091437757906,6.90817878366675,7.25733919799161,8.00460590806679,7.50121391536761,4.15891945674644,9.84522347122316,5.89370272888273,5.88915576112178,7.38854988266813,6.67021420173932,5.2969152945052,3.45460433481226,6.07115621654428,4.00912933052895,6.20656296530204,7.29446415474596,4.5763956205102,1.38050701855613,12.6129681362864,4.1819059011106,2.93672370387951,3.12191451386693,4.52157596522513,4.23145702930959,6.03351057486714,6.07560887263367,5.23898976508588,2.73838027510575,5.65515843324706,4.96256799709778
"CD39",1.90146204606672,1.91274610254567,1.17767360601798,0.352923742450738,0.970085088145106,3.11876305330067,1.07561722568784,1.14328843175929,1.07276582835928,0.812198403189835,1.51311478877832,1.1079116345004,0.508267158596088,1.39768827078433,1.53104538739743,0.537140981747706,0.460831528230758,2.35250961240607,0.637960432485508,0.327337688426833,3.61249441932901,3.0700916394383,3.38536377978104,0.346843929195329,2.99776273841455,1.55671971068776,0.76758448430466,0.415642911384492,1.35998917901951,3.27289809363829,0.261288505516126,0.233469578978798,1.05183574262698,1.67873734946207,1.98547775890545,0.528497521459948,1.47240790913094,0.623565362594427,0.765776652044118,1.76581177531746,0.240653170373848,1.12877450460826,1.06086800153983,0.850467418801029,0.731553815880217,0.485558094335107,0.741872227524427,0.571700803305517,2.77128268843854,2.10451704678062,1.70794134033699,0.808626235624549,1.40302434470719,1.36388587645873,0.349596622149301,1.44847886448093,0.220487065969119,0.811241516692546,1.00631083204009,1.6289978289221,1.01428569249966,1.20288413490974,1.70345384036517,0.918218119151974,0.772539702564706,1.04518086866351,0.555656361906174,0.619698282042966,0.81933378596858,0.440583053914696,0.3780835870159,1.88821405814139,0.729717348110939,0.911953899428432,0.903543060224219,0.735649467237017,0.766530287686819,0.296661392286291,0.280872801745177,0.275374956643141,0.572136502988828,1.65923519623794,0.954319465845634,0.10003066198134,0.732081367508651,1.06657822988825,0.526295420518606,0.895609493490895,1.43525325213247,0.97629400142212,0.790825185975886,0.410835600029742,0.843585480876021,2.66561519633838,1.61100287324298,1.64584420703095
