"","X","E","C","EC","NO","TERT"
"X",1,-0.571428571428571,0.439285714285714,-0.221428571428571,0.328571428571429,-0.0464285714285714
"E",-0.571428571428571,1,0.260714285714286,0.753571428571429,-0.917857142857143,0.146428571428571
"C",0.439285714285714,0.260714285714286,1,0.617857142857143,-0.428571428571429,0.0892857142857143
"EC",-0.221428571428571,0.753571428571429,0.617857142857143,1,-0.75,0.296428571428571
"NO",0.328571428571429,-0.917857142857143,-0.428571428571429,-0.75,1,-0.0857142857142857
"TERT",-0.0464285714285714,0.146428571428571,0.0892857142857143,0.296428571428571,-0.0857142857142857,1
