1 , 53 , 26 , 1093
2 , 102 , 4 , 317
3 , 206 , 11 , 1593
4 , 320 , 7 , 406
5 , 390 , 14 , 843
6 , 426 , 11 , 891
7 , 490 , 12 , 398
8 , 560 , 24 , 1573
9 , 600 , 16 , 761
10 , 670 , 11 , 649
11 , 732 , 9 , 498
12 , 25 , 26 , 894
13 , 105 , 20 , 580
14 , 645 , 23 , 385
15 , 85 , 36 , 1093
16 , 732 , 36 , 1051
17 , 301 , 37 , 523
18 , 420 , 33 , 203
19 , 423 , 54 , 230
20 , 189 , 62 , 974
21 , 628 , 86 , 1227
22 , 753 , 75 , 1175
23 , 390 , 85 , 1582
24 , 703 , 80 , 1104
25 , 20 , 76 , 232
26 , 512 , 91 , 1377
27 , 597 , 95 , 1304
28 , 328 , 85 , 497
29 , 669 , 108 , 1205
30 , 534 , 108 , 715
31 , 437 , 109 , 912
32 , 222 , 103 , 308
33 , 482 , 115 , 1048
34 , 7 , 120 , 368
35 , 298 , 126 , 989
36 , 585 , 131 , 490
37 , 255 , 142 , 1134
38 , 720 , 138 , 909
39 , 118 , 138 , 793
40 , 356 , 146 , 1592
41 , 534 , 133 , 705
42 , 692 , 142 , 869
43 , 739 , 164 , 2626
44 , 92 , 147 , 615
45 , 203 , 155 , 959
46 , 131 , 160 , 703
47 , 435 , 161 , 836
48 , 159 , 162 , 739
49 , 537 , 172 , 1141
50 , 512 , 171 , 390
51 , 233 , 172 , 524
52 , 604 , 178 , 356
53 , 405 , 186 , 633
54 , 434 , 197 , 1101
55 , 694 , 191 , 392
56 , 388 , 203 , 471
57 , 650 , 211 , 1344
58 , 616 , 211 , 764
59 , 21 , 217 , 947
60 , 530 , 205 , 219
61 , 72 , 226 , 1621
62 , 368 , 245 , 1067
63 , 518 , 237 , 894
64 , 395 , 242 , 944
65 , 444 , 239 , 963
66 , 168 , 246 , 529
67 , 565 , 266 , 1832
68 , 533 , 266 , 888
69 , 201 , 260 , 648
70 , 424 , 272 , 1022
71 , 175 , 275 , 1007
72 , 124 , 282 , 1149
73 , 55 , 281 , 1382
74 , 498 , 299 , 1865
75 , 642 , 283 , 424
76 , 786 , 296 , 1370
77 , 442 , 292 , 506
78 , 728 , 291 , 261
79 , 296 , 302 , 884
80 , 182 , 303 , 522
81 , 532 , 310 , 831
82 , 684 , 308 , 411
83 , 47 , 323 , 1305
84 , 610 , 320 , 511
85 , 452 , 329 , 856
86 , 419 , 336 , 592
87 , 572 , 334 , 620
88 , 279 , 349 , 2776
89 , 332 , 361 , 1612
90 , 700 , 358 , 595
91 , 193 , 369 , 750
92 , 670 , 365 , 526
93 , 688 , 374 , 430
94 , 622 , 369 , 219
95 , 390 , 374 , 521
96 , 480 , 383 , 1093
97 , 549 , 374 , 321
98 , 279 , 387 , 693
99 , 254 , 397 , 514
100 , 459 , 410 , 990
101 , 602 , 415 , 1146
102 , 7 , 415 , 576
103 , 365 , 428 , 1015
104 , 97 , 419 , 524
105 , 247 , 417 , 246
106 , 624 , 424 , 514
107 , 648 , 445 , 1132
108 , 405 , 444 , 1792
109 , 82 , 445 , 863
110 , 210 , 443 , 728
111 , 481 , 445 , 820
112 , 733 , 465 , 1677
113 , 618 , 449 , 688
114 , 554 , 474 , 400
115 , 701 , 489 , 947
116 , 7 , 492 , 730
117 , 391 , 477 , 311
118 , 117 , 488 , 894
119 , 344 , 493 , 1360
120 , 229 , 489 , 748
121 , 201 , 501 , 1141
122 , 60 , 500 , 799
123 , 272 , 501 , 548
124 , 666 , 516 , 1629
125 , 261 , 527 , 905
126 , 29 , 527 , 995
127 , 587 , 523 , 550
128 , 564 , 532 , 584
129 , 233 , 533 , 594
130 , 791 , 537 , 532
131 , 197 , 532 , 415
132 , 214 , 542 , 498
133 , 155 , 547 , 908
134 , 111 , 556 , 951
135 , 497 , 559 , 999
136 , 418 , 576 , 2872
137 , 25 , 558 , 312
138 , 540 , 580 , 2091
139 , 793 , 563 , 249
140 , 471 , 582 , 1769
141 , 67 , 582 , 935
142 , 103 , 595 , 1552
143 , 379 , 586 , 491
144 , 153 , 593 , 741
145 , 334 , 593 , 469
146 , 724 , 596 , 562
147 , 488 , 616 , 2014
148 , 384 , 606 , 447
149 , 179 , 614 , 654
150 , 636 , 616 , 335
151 , 370 , 619 , 438
152 , 83 , 632 , 705
153 , 647 , 634 , 763
154 , 325 , 630 , 348
155 , 696 , 640 , 791
156 , 725 , 644 , 1093
157 , 61 , 646 , 912
158 , 238 , 659 , 1181
159 , 313 , 660 , 1216
160 , 412 , 654 , 1185
161 , 97 , 653 , 357
162 , 278 , 679 , 1291
163 , 337 , 673 , 600
164 , 21 , 671 , 295
165 , 535 , 684 , 586
166 , 790 , 697 , 336
167 , 733 , 696 , 408
168 , 401 , 704 , 320
169 , 511 , 705 , 559
170 , 546 , 714 , 897
171 , 670 , 730 , 1498
172 , 67 , 719 , 953
173 , 105 , 710 , 205
174 , 328 , 725 , 1116
175 , 493 , 725 , 436
176 , 376 , 723 , 207
177 , 192 , 731 , 1152
178 , 732 , 726 , 507
179 , 697 , 741 , 589
180 , 478 , 743 , 807
181 , 536 , 749 , 1229
182 , 185 , 756 , 623
183 , 108 , 766 , 879
184 , 436 , 762 , 399
185 , 6 , 771 , 308
186 , 788 , 783 , 805
187 , 82 , 783 , 676
188 , 318 , 789 , 200
189 , 724 , 792 , 426
190 , 434 , 793 , 306
191 , 598 , 793 , 388
192 , 225 , 794 , 388
193 , 164 , 795 , 298
