1 , 5 , 18 , 364
2 , 30 , 16 , 1173
3 , 113 , 8 , 961
4 , 196 , 11 , 987
5 , 287 , 9 , 517
6 , 324 , 18 , 1749
7 , 446 , 7 , 839
8 , 502 , 5 , 209
9 , 524 , 6 , 290
10 , 601 , 7 , 647
11 , 638 , 9 , 492
12 , 736 , 7 , 342
13 , 780 , 12 , 685
14 , 246 , 41 , 1021
15 , 718 , 31 , 1131
16 , 433 , 27 , 647
17 , 788 , 34 , 750
18 , 546 , 27 , 366
19 , 646 , 43 , 1077
20 , 350 , 42 , 1407
21 , 86 , 53 , 1213
22 , 509 , 55 , 1518
23 , 24 , 52 , 1003
24 , 446 , 55 , 1181
25 , 153 , 60 , 1410
26 , 698 , 52 , 512
27 , 396 , 69 , 1293
28 , 554 , 70 , 890
29 , 609 , 80 , 1328
30 , 255 , 70 , 424
31 , 198 , 87 , 1925
32 , 690 , 79 , 1098
33 , 343 , 86 , 2418
34 , 761 , 88 , 2304
35 , 115 , 80 , 679
36 , 468 , 89 , 714
37 , 54 , 87 , 626
38 , 505 , 91 , 1266
39 , 794 , 99 , 538
40 , 570 , 96 , 948
41 , 17 , 92 , 371
42 , 151 , 94 , 382
43 , 86 , 95 , 272
44 , 121 , 108 , 1140
45 , 405 , 101 , 598
46 , 729 , 121 , 1623
47 , 659 , 116 , 1034
48 , 463 , 105 , 244
49 , 163 , 124 , 735
50 , 278 , 117 , 973
51 , 336 , 113 , 424
52 , 567 , 128 , 1584
53 , 136 , 130 , 802
54 , 464 , 125 , 1152
55 , 610 , 132 , 747
56 , 410 , 122 , 313
57 , 323 , 130 , 606
58 , 385 , 137 , 1010
59 , 632 , 137 , 502
60 , 16 , 140 , 337
61 , 699 , 140 , 248
62 , 299 , 148 , 1093
63 , 49 , 151 , 915
64 , 363 , 151 , 379
65 , 205 , 166 , 1419
66 , 137 , 162 , 602
67 , 684 , 165 , 783
68 , 465 , 171 , 1264
69 , 258 , 173 , 1090
70 , 310 , 177 , 897
71 , 143 , 186 , 1183
72 , 46 , 180 , 235
73 , 695 , 181 , 457
74 , 776 , 195 , 1449
75 , 552 , 201 , 1539
76 , 689 , 207 , 1298
77 , 164 , 204 , 553
78 , 387 , 199 , 472
79 , 201 , 208 , 772
80 , 444 , 211 , 887
81 , 489 , 217 , 1289
82 , 748 , 219 , 1082
83 , 113 , 208 , 548
84 , 360 , 211 , 623
85 , 300 , 218 , 1552
86 , 601 , 225 , 1608
87 , 412 , 211 , 298
88 , 629 , 214 , 402
89 , 14 , 229 , 1000
90 , 719 , 230 , 870
91 , 155 , 226 , 525
92 , 188 , 232 , 662
93 , 48 , 241 , 1065
94 , 115 , 240 , 262
95 , 691 , 245 , 335
96 , 206 , 247 , 338
97 , 166 , 270 , 2034
98 , 76 , 264 , 1773
99 , 517 , 263 , 1211
100 , 553 , 266 , 711
101 , 26 , 270 , 863
102 , 414 , 277 , 1689
103 , 653 , 276 , 877
104 , 342 , 285 , 1769
105 , 44 , 285 , 499
106 , 730 , 284 , 652
107 , 230 , 282 , 219
108 , 302 , 296 , 1471
109 , 577 , 301 , 1527
110 , 196 , 297 , 848
111 , 520 , 307 , 1589
112 , 693 , 297 , 240
113 , 218 , 310 , 805
114 , 416 , 307 , 510
115 , 83 , 321 , 1642
116 , 394 , 320 , 1128
117 , 126 , 355 , 4081
118 , 180 , 344 , 3129
119 , 681 , 313 , 469
120 , 729 , 315 , 759
121 , 254 , 324 , 585
122 , 620 , 320 , 333
123 , 583 , 341 , 1356
124 , 26 , 334 , 1004
125 , 632 , 336 , 613
126 , 697 , 333 , 328
127 , 291 , 337 , 411
128 , 715 , 364 , 1986
129 , 757 , 344 , 231
130 , 773 , 348 , 349
131 , 256 , 351 , 648
132 , 556 , 351 , 331
133 , 12 , 374 , 1452
134 , 535 , 358 , 839
135 , 76 , 371 , 1369
136 , 681 , 364 , 614
137 , 466 , 371 , 1457
138 , 292 , 373 , 760
139 , 627 , 369 , 275
140 , 155 , 392 , 805
141 , 336 , 386 , 995
142 , 564 , 388 , 695
143 , 635 , 407 , 1999
144 , 696 , 401 , 1459
145 , 790 , 401 , 816
146 , 753 , 406 , 2221
147 , 667 , 402 , 680
148 , 541 , 409 , 1357
149 , 284 , 412 , 1361
150 , 188 , 410 , 827
151 , 504 , 415 , 1494
152 , 33 , 415 , 1432
153 , 425 , 407 , 206
154 , 231 , 417 , 973
155 , 346 , 416 , 672
156 , 388 , 423 , 1450
157 , 102 , 426 , 964
158 , 77 , 424 , 573
159 , 143 , 434 , 469
160 , 460 , 447 , 1769
161 , 793 , 432 , 293
162 , 306 , 444 , 944
163 , 778 , 442 , 504
164 , 211 , 452 , 792
165 , 254 , 455 , 1271
166 , 161 , 454 , 413
167 , 716 , 468 , 1054
168 , 768 , 467 , 981
169 , 90 , 469 , 854
170 , 337 , 476 , 1653
171 , 444 , 483 , 1477
172 , 241 , 497 , 2721
173 , 788 , 483 , 280
174 , 478 , 497 , 1099
175 , 180 , 499 , 1507
176 , 302 , 497 , 854
177 , 328 , 505 , 960
178 , 44 , 512 , 2206
179 , 380 , 507 , 1568
180 , 282 , 510 , 538
181 , 510 , 513 , 1067
182 , 685 , 531 , 964
183 , 346 , 535 , 1348
184 , 184 , 539 , 1586
185 , 249 , 543 , 1207
186 , 642 , 531 , 406
187 , 462 , 539 , 330
188 , 285 , 546 , 1351
189 , 530 , 548 , 1298
190 , 497 , 549 , 583
191 , 760 , 563 , 1411
192 , 315 , 560 , 567
193 , 657 , 561 , 692
194 , 31 , 583 , 1625
195 , 702 , 579 , 593
196 , 101 , 578 , 951
197 , 343 , 598 , 1597
198 , 487 , 581 , 988
199 , 795 , 583 , 302
200 , 409 , 583 , 376
201 , 559 , 583 , 397
202 , 585 , 587 , 596
203 , 614 , 599 , 1018
204 , 511 , 608 , 1690
205 , 745 , 603 , 1017
206 , 470 , 605 , 910
207 , 197 , 605 , 730
208 , 706 , 613 , 1325
209 , 283 , 606 , 717
210 , 664 , 601 , 375
211 , 778 , 616 , 794
212 , 15 , 623 , 1292
213 , 252 , 622 , 1597
214 , 310 , 623 , 862
215 , 408 , 625 , 1570
216 , 46 , 625 , 905
217 , 99 , 627 , 415
218 , 623 , 624 , 552
219 , 66 , 649 , 2114
220 , 221 , 626 , 206
221 , 580 , 632 , 781
222 , 674 , 636 , 1063
223 , 196 , 632 , 543
224 , 722 , 650 , 1595
225 , 132 , 657 , 1311
226 , 352 , 640 , 340
227 , 442 , 651 , 922
228 , 224 , 656 , 1579
229 , 628 , 652 , 1359
230 , 322 , 647 , 517
231 , 189 , 662 , 1003
232 , 784 , 652 , 641
233 , 269 , 663 , 1045
234 , 167 , 652 , 465
235 , 373 , 662 , 580
236 , 349 , 674 , 1425
237 , 574 , 662 , 350
238 , 590 , 669 , 603
239 , 156 , 673 , 765
240 , 766 , 664 , 371
241 , 474 , 674 , 669
242 , 618 , 690 , 1740
243 , 388 , 702 , 2377
244 , 550 , 688 , 817
245 , 418 , 684 , 791
246 , 319 , 681 , 410
247 , 238 , 694 , 562
248 , 786 , 693 , 568
249 , 693 , 698 , 820
250 , 193 , 703 , 846
251 , 477 , 708 , 1084
252 , 44 , 708 , 1214
253 , 587 , 711 , 1042
254 , 716 , 716 , 1095
255 , 509 , 721 , 722
256 , 103 , 731 , 1832
257 , 673 , 726 , 1020
258 , 197 , 735 , 1320
259 , 322 , 730 , 975
260 , 416 , 741 , 1532
261 , 559 , 739 , 1403
262 , 530 , 732 , 412
263 , 736 , 736 , 813
264 , 155 , 743 , 1315
265 , 14 , 735 , 294
266 , 269 , 749 , 1576
267 , 485 , 756 , 1511
268 , 453 , 755 , 429
269 , 792 , 764 , 658
270 , 539 , 779 , 2379
271 , 608 , 762 , 956
272 , 55 , 767 , 723
273 , 119 , 782 , 1046
274 , 178 , 773 , 412
275 , 30 , 770 , 215
276 , 292 , 777 , 856
277 , 443 , 785 , 1159
278 , 235 , 783 , 1064
279 , 14 , 786 , 776
280 , 760 , 782 , 469
281 , 404 , 783 , 631
282 , 272 , 793 , 384
283 , 614 , 792 , 521
