index,X,Y,EGFR,PDGFRA,CDK4
1 , 470 , 12, 5, 0, 5
2 , 550 , 14, 3, 0, 15
3 , 191 , 23, 3, 0, 1
4 , 411 , 31, 5, 0, 9
5 , 272 , 44, 0, 1, 0
6 , 563 , 45, 5, 0, 1
7 , 435 , 59, 14, 0, 0
8 , 392 , 81, 6, 0, 11
9 , 488 , 84, 4, 0, 6
10 , 468 , 83, 4, 0, 5
11 , 557 , 92, 5, 0, 3
12 , 355 , 105, 5, 0, 11
13 , 502 , 105, 3, 1, 11
14 , 527 , 111, 4, 0, 9
15 , 791 , 122, 0, 0, 0
16 , 580 , 133, 2, 0, 1
17 , 552 , 135, 5, 0, 8
18 , 474 , 142, 5, 0, 18
19 , 405 , 140, 14, 1, 13
20 , 449 , 144, 9, 0, 10
21 , 660 , 140, 11, 0, 9
22 , 513 , 148, 18, 0, 20
23 , 381 , 154, 8, 2, 8
24 , 677 , 155, 7, 0, 3
25 , 603 , 159, 12, 0, 4
26 , 644 , 168, 7, 1, 12
27 , 576 , 179, 13, 0, 21
28 , 623 , 176, 15, 0, 6
29 , 341 , 167, 5, 1, 12
30 , 494 , 174, 5, 0, 7
31 , 140 , 185, 6, 1, 6
32 , 536 , 225, 42, 5, 135
33 , 235 , 196, 5, 1, 8
34 , 186 , 190, 2, 2, 3
35 , 322 , 200, 6, 2, 28
36 , 47 , 206, 12, 0, 12
37 , 674 , 210, 19, 0, 33
38 , 778 , 198, 4, 0, 2
39 , 474 , 199, 4, 0, 28
40 , 642 , 215, 14, 1, 23
41 , 385 , 211, 7, 1, 11
42 , 137 , 222, 2, 2, 16
43 , 707 , 224, 11, 1, 5
44 , 56 , 235, 6, 0, 4
45 , 14 , 249, 3, 3, 11
46 , 603 , 261, 25, 0, 17
47 , 719 , 242, 5, 1, 4
48 , 494 , 245, 13, 1, 14
49 , 212 , 250, 6, 3, 7
50 , 449 , 252, 11, 0, 11
51 , 81 , 253, 9, 1, 9
52 , 109 , 261, 0, 0, 42
53 , 59 , 265, 15, 2, 6
54 , 433 , 281, 21, 0, 17
55 , 695 , 275, 5, 0, 22
56 , 390 , 298, 21, 1, 23
57 , 509 , 292, 3, 1, 23
58 , 638 , 292, 0, 0, 3
59 , 67 , 294, 5, 0, 15
60 , 607 , 298, 19, 1, 27
61 , 561 , 304, 6, 3, 26
62 , 481 , 307, 4, 2, 26
63 , 315 , 313, 11, 0, 16
64 , 91 , 324, 7, 0, 15
65 , 534 , 318, 1, 3, 19
66 , 621 , 322, 14, 7, 11
67 , 120 , 325, 12, 1, 19
68 , 581 , 345, 25, 3, 61
69 , 713 , 330, 4, 3, 16
70 , 32 , 354, 13, 2, 29
71 , 523 , 345, 1, 5, 15
72 , 10 , 372, 7, 3, 40
73 , 142 , 349, 15, 3, 4
74 , 670 , 348, 2, 0, 26
75 , 489 , 351, 14, 3, 3
76 , 734 , 354, 7, 3, 13
77 , 209 , 367, 12, 3, 8
78 , 271 , 359, 3, 1, 4
79 , 645 , 364, 0, 0, 18
80 , 180 , 377, 5, 1, 5
81 , 671 , 371, 2, 1, 20
82 , 514 , 379, 2, 1, 10
83 , 102 , 392, 7, 1, 14
84 , 589 , 397, 13, 7, 50
85 , 372 , 393, 19, 1, 12
86 , 620 , 386, 7, 2, 18
87 , 710 , 386, 7, 0, 4
88 , 649 , 392, 2, 3, 16
89 , 278 , 396, 4, 0, 21
90 , 403 , 392, 8, 0, 5
91 , 784 , 396, 7, 2, 8
92 , 153 , 413, 25, 1, 16
93 , 524 , 409, 4, 3, 18
94 , 68 , 412, 9, 4, 18
95 , 755 , 404, 7, 2, 4
96 , 340 , 411, 13, 1, 17
97 , 392 , 407, 2, 0, 2
98 , 722 , 412, 19, 9, 9
99 , 454 , 414, 6, 0, 14
100 , 492 , 410, 3, 1, 3
101 , 625 , 428, 17, 9, 28
102 , 703 , 426, 9, 16, 32
103 , 773 , 422, 3, 4, 14
104 , 116 , 432, 4, 2, 35
105 , 185 , 425, 8, 0, 3
106 , 205 , 424, 6, 0, 6
107 , 10 , 452, 12, 0, 11
108 , 426 , 439, 5, 0, 10
109 , 674 , 452, 8, 5, 13
110 , 159 , 450, 10, 2, 14
111 , 696 , 449, 2, 4, 23
112 , 50 , 457, 5, 7, 20
113 , 611 , 450, 2, 2, 5
114 , 651 , 455, 4, 5, 14
115 , 181 , 461, 8, 1, 11
116 , 511 , 463, 6, 1, 33
117 , 144 , 480, 26, 11, 12
118 , 549 , 458, 3, 1, 4
119 , 435 , 460, 7, 0, 5
120 , 469 , 472, 6, 1, 25
121 , 203 , 477, 19, 1, 11
122 , 635 , 482, 29, 10, 26
123 , 577 , 486, 22, 0, 23
124 , 761 , 485, 0, 14, 28
125 , 412 , 493, 5, 0, 19
126 , 494 , 496, 8, 0, 10
127 , 659 , 508, 9, 13, 34
128 , 100 , 520, 2, 2, 7
129 , 698 , 506, 12, 6, 7
130 , 610 , 508, 5, 4, 3
131 , 10 , 517, 6, 0, 5
132 , 542 , 517, 15, 3, 17
133 , 232 , 517, 6, 2, 12
134 , 35 , 513, 11, 3, 4
135 , 134 , 513, 8, 3, 15
136 , 501 , 514, 6, 1, 0
137 , 513 , 531, 6, 4, 10
138 , 569 , 523, 12, 2, 5
139 , 754 , 529, 11, 8, 12
140 , 193 , 526, 0, 0, 4
141 , 283 , 536, 2, 0, 8
142 , 616 , 538, 3, 2, 21
143 , 311 , 537, 9, 0, 9
144 , 781 , 542, 1, 0, 10
145 , 179 , 547, 9, 1, 8
146 , 222 , 546, 5, 2, 5
147 , 21 , 552, 5, 0, 3
148 , 546 , 567, 9, 11, 53
149 , 315 , 562, 4, 9, 18
150 , 192 , 573, 16, 4, 48
151 , 105 , 562, 2, 0, 6
152 , 137 , 567, 6, 0, 8
153 , 255 , 571, 0, 7, 13
154 , 51 , 570, 5, 0, 13
155 , 219 , 574, 7, 0, 18
156 , 389 , 572, 3, 0, 19
157 , 14 , 571, 9, 0, 10
158 , 503 , 574, 12, 5, 23
159 , 448 , 570, 2, 2, 12
160 , 621 , 576, 3, 1, 3
161 , 70 , 583, 11, 0, 11
162 , 594 , 584, 5, 5, 39
163 , 426 , 583, 10, 1, 9
164 , 107 , 583, 2, 0, 7
165 , 284 , 618, 24, 12, 46
166 , 7 , 586, 5, 0, 3
167 , 327 , 597, 6, 2, 28
168 , 397 , 605, 19, 2, 15
169 , 654 , 597, 10, 5, 9
170 , 40 , 596, 6, 1, 13
171 , 540 , 595, 8, 4, 7
172 , 506 , 614, 28, 19, 34
173 , 237 , 606, 6, 2, 5
174 , 452 , 617, 11, 11, 23
175 , 580 , 614, 12, 5, 16
176 , 247 , 626, 7, 1, 6
177 , 618 , 612, 5, 2, 5
178 , 200 , 636, 6, 4, 32
179 , 168 , 625, 0, 3, 16
180 , 473 , 632, 12, 7, 14
181 , 522 , 634, 11, 8, 7
182 , 545 , 635, 6, 9, 10
183 , 114 , 657, 10, 2, 27
184 , 396 , 654, 9, 3, 11
185 , 597 , 653, 2, 10, 9
186 , 565 , 651, 4, 2, 12
187 , 458 , 658, 7, 2, 12
188 , 254 , 659, 3, 3, 11
189 , 416 , 662, 7, 2, 10
190 , 542 , 670, 6, 6, 26
191 , 617 , 667, 2, 2, 15
192 , 86 , 670, 12, 3, 14
193 , 589 , 680, 12, 4, 22
194 , 447 , 693, 5, 1, 16
195 , 213 , 698, 9, 4, 22
196 , 412 , 691, 1, 6, 20
197 , 470 , 693, 4, 4, 15
198 , 498 , 697, 8, 8, 22
199 , 183 , 703, 3, 5, 6
200 , 363 , 705, 0, 3, 8
201 , 114 , 714, 6, 1, 13
202 , 239 , 703, 3, 1, 13
203 , 599 , 704, 3, 8, 17
204 , 292 , 701, 2, 0, 3
205 , 519 , 718, 1, 4, 21
206 , 199 , 734, 8, 1, 7
207 , 416 , 732, 16, 9, 7
208 , 126 , 734, 5, 0, 8
209 , 543 , 734, 1, 5, 17
210 , 249 , 741, 6, 3, 16
211 , 435 , 744, 8, 5, 12
212 , 345 , 756, 3, 14, 35
213 , 285 , 745, 1, 3, 11
214 , 374 , 749, 0, 11, 28
215 , 412 , 760, 6, 3, 6
216 , 502 , 761, 2, 2, 14
217 , 442 , 765, 5, 0, 13
218 , 377 , 776, 12, 4, 16
219 , 211 , 784, 9, 3, 14
220 , 286 , 787, 5, 2, 16
221 , 483 , 789, 2, 2, 15
222 , 307 , 793, 3, 2, 5
