index,X,Y,EGFR,PDGFRA,CDK4
1 , 81 , 25, 4, 0, 0
2 , 262 , 13, 3, 0, 0
3 , 403 , 11, 2, 0, 7
4 , 702 , 6, 2, 0, 1
5 , 501 , 22, 1, 0, 0
6 , 594 , 19, 6, 0, 0
7 , 746 , 8, 0, 0, 0
8 , 134 , 16, 0, 0, 0
9 , 714 , 29, 2, 0, 2
10 , 477 , 28, 2, 0, 2
11 , 614 , 51, 3, 0, 0
12 , 684 , 50, 1, 0, 2
13 , 68 , 50, 3, 0, 0
14 , 460 , 60, 2, 0, 9
15 , 105 , 62, 0, 0, 0
16 , 317 , 65, 3, 0, 0
17 , 795 , 80, 0, 0, 3
18 , 462 , 83, 6, 0, 3
19 , 59 , 83, 3, 1, 3
20 , 612 , 87, 5, 0, 1
21 , 92 , 90, 1, 0, 1
22 , 218 , 94, 0, 0, 6
23 , 702 , 93, 8, 0, 1
24 , 639 , 103, 3, 0, 0
25 , 591 , 109, 3, 0, 4
26 , 764 , 102, 4, 0, 2
27 , 323 , 111, 5, 0, 2
28 , 499 , 109, 1, 0, 3
29 , 661 , 121, 1, 0, 1
30 , 301 , 131, 0, 1, 0
31 , 615 , 132, 0, 0, 8
32 , 776 , 134, 0, 0, 6
33 , 487 , 127, 3, 0, 0
34 , 109 , 135, 4, 0, 0
35 , 448 , 152, 1, 0, 2
36 , 37 , 144, 8, 0, 0
37 , 576 , 145, 1, 0, 1
38 , 755 , 156, 1, 0, 8
39 , 608 , 151, 5, 1, 2
40 , 267 , 169, 3, 1, 5
41 , 563 , 168, 2, 0, 2
42 , 627 , 162, 2, 0, 1
43 , 29 , 178, 2, 0, 4
44 , 656 , 179, 5, 1, 2
45 , 393 , 186, 2, 1, 7
46 , 489 , 189, 0, 0, 10
47 , 771 , 183, 7, 0, 1
48 , 123 , 183, 1, 0, 1
49 , 435 , 188, 0, 0, 5
50 , 450 , 188, 0, 0, 2
51 , 189 , 195, 1, 2, 0
52 , 627 , 200, 1, 0, 11
53 , 21 , 207, 1, 0, 1
54 , 263 , 211, 0, 1, 0
55 , 593 , 207, 2, 0, 0
56 , 552 , 217, 4, 0, 0
57 , 395 , 220, 0, 0, 19
58 , 141 , 214, 3, 0, 0
59 , 667 , 215, 3, 0, 9
60 , 102 , 226, 2, 0, 4
61 , 382 , 230, 1, 0, 10
62 , 424 , 228, 4, 0, 5
63 , 60 , 238, 1, 0, 5
64 , 336 , 255, 0, 5, 0
65 , 685 , 251, 0, 0, 5
66 , 788 , 271, 10, 0, 2
67 , 268 , 257, 0, 0, 0
68 , 89 , 263, 2, 0, 4
69 , 388 , 272, 0, 1, 11
70 , 493 , 297, 11, 0, 14
71 , 700 , 284, 1, 0, 15
72 , 62 , 278, 0, 1, 8
73 , 162 , 281, 0, 3, 0
74 , 285 , 294, 0, 4, 0
75 , 738 , 299, 1, 0, 9
76 , 555 , 301, 3, 0, 6
77 , 84 , 309, 0, 0, 17
78 , 219 , 304, 1, 1, 0
79 , 249 , 310, 0, 0, 0
80 , 399 , 309, 2, 0, 8
81 , 652 , 304, 1, 0, 4
82 , 185 , 302, 0, 2, 0
83 , 197 , 318, 0, 0, 0
