index,X,Y,EGFR,PDGFRA,CDK4
1 , 64 , 9, 2, 0, 0
2 , 303 , 9, 3, 2, 0
3 , 400 , 20, 3, 10, 5
4 , 241 , 22, 6, 3, 5
5 , 368 , 22, 4, 3, 4
6 , 522 , 31, 2, 8, 3
7 , 604 , 28, 7, 7, 2
8 , 306 , 36, 5, 10, 9
9 , 581 , 38, 1, 1, 0
10 , 114 , 37, 1, 0, 5
11 , 70 , 40, 1, 0, 1
12 , 331 , 42, 1, 4, 1
13 , 563 , 46, 3, 7, 4
14 , 370 , 43, 8, 5, 6
15 , 309 , 60, 4, 6, 20
16 , 236 , 64, 2, 0, 4
17 , 355 , 75, 0, 9, 2
18 , 559 , 78, 3, 4, 0
19 , 580 , 91, 8, 8, 14
20 , 373 , 76, 1, 0, 4
21 , 393 , 92, 6, 10, 8
22 , 217 , 129, 20, 14, 11
23 , 440 , 119, 9, 12, 12
24 , 714 , 113, 1, 3, 0
25 , 523 , 116, 9, 4, 2
26 , 488 , 115, 6, 1, 10
27 , 57 , 126, 3, 2, 0
28 , 272 , 127, 10, 12, 16
29 , 109 , 124, 5, 6, 8
30 , 595 , 121, 2, 3, 10
31 , 659 , 123, 0, 5, 0
32 , 546 , 146, 5, 24, 12
33 , 164 , 142, 6, 10, 24
34 , 622 , 148, 13, 11, 7
35 , 81 , 135, 2, 2, 2
36 , 296 , 152, 8, 13, 13
37 , 740 , 148, 5, 4, 4
38 , 655 , 153, 6, 5, 9
39 , 269 , 165, 7, 15, 14
40 , 71 , 153, 1, 0, 0
41 , 677 , 151, 3, 2, 6
42 , 401 , 160, 8, 11, 17
43 , 353 , 162, 6, 6, 16
44 , 73 , 176, 3, 2, 7
45 , 247 , 187, 6, 12, 11
46 , 521 , 179, 6, 7, 7
47 , 311 , 180, 5, 1, 1
48 , 159 , 177, 3, 3, 1
49 , 213 , 174, 0, 4, 0
50 , 53 , 185, 4, 3, 3
51 , 569 , 181, 6, 6, 8
52 , 36 , 193, 3, 2, 3
53 , 361 , 205, 16, 30, 49
54 , 539 , 223, 22, 31, 19
55 , 615 , 204, 13, 11, 16
56 , 725 , 209, 6, 8, 2
57 , 77 , 212, 3, 4, 16
58 , 449 , 246, 21, 22, 27
59 , 232 , 221, 5, 2, 7
60 , 395 , 243, 31, 34, 21
61 , 493 , 233, 13, 20, 32
62 , 664 , 226, 10, 10, 19
63 , 96 , 227, 8, 1, 8
64 , 120 , 240, 11, 19, 20
65 , 281 , 225, 1, 9, 4
66 , 209 , 225, 1, 13, 6
67 , 189 , 230, 4, 7, 2
68 , 612 , 238, 12, 7, 7
69 , 155 , 252, 17, 12, 13
70 , 738 , 240, 4, 2, 6
