index,X,Y,EGFR,PDGFRA,CDK4
1 , 354 , 5, 0, 0, 0
2 , 412 , 12, 0, 0, 0
3 , 565 , 15, 3, 1, 1
4 , 590 , 18, 4, 1, 0
5 , 460 , 15, 0, 0, 0
6 , 373 , 26, 1, 1, 0
7 , 649 , 28, 0, 3, 0
8 , 132 , 26, 0, 0, 0
9 , 604 , 38, 3, 1, 4
10 , 474 , 39, 6, 1, 9
11 , 583 , 46, 2, 0, 0
12 , 309 , 49, 0, 1, 0
13 , 360 , 49, 1, 0, 0
14 , 387 , 48, 0, 0, 0
15 , 133 , 57, 0, 4, 0
16 , 51 , 67, 0, 0, 0
17 , 625 , 67, 1, 0, 0
18 , 451 , 72, 17, 3, 2
19 , 249 , 76, 1, 1, 0
20 , 329 , 74, 0, 0, 0
21 , 429 , 82, 7, 1, 4
22 , 546 , 76, 5, 2, 2
23 , 572 , 79, 7, 0, 1
24 , 704 , 81, 0, 0, 0
25 , 291 , 80, 0, 0, 0
26 , 128 , 82, 0, 3, 0
27 , 610 , 88, 8, 2, 6
28 , 218 , 91, 0, 0, 0
29 , 507 , 95, 7, 0, 0
30 , 415 , 97, 4, 1, 1
31 , 658 , 91, 2, 0, 1
32 , 465 , 108, 7, 1, 10
33 , 182 , 98, 0, 1, 0
34 , 311 , 107, 3, 1, 1
35 , 690 , 112, 2, 2, 0
36 , 12 , 119, 2, 0, 2
37 , 522 , 115, 5, 2, 1
38 , 151 , 123, 2, 1, 0
39 , 295 , 127, 7, 0, 3
40 , 504 , 135, 3, 1, 0
41 , 593 , 133, 5, 2, 7
42 , 476 , 135, 11, 0, 1
43 , 290 , 148, 11, 3, 8
44 , 47 , 162, 5, 0, 4
45 , 346 , 172, 13, 3, 22
46 , 581 , 165, 3, 1, 2
47 , 687 , 174, 0, 2, 0
48 , 796 , 179, 3, 0, 0
49 , 6 , 174, 2, 0, 4
50 , 72 , 185, 3, 3, 10
51 , 598 , 184, 1, 2, 0
52 , 340 , 206, 7, 1, 18
53 , 488 , 207, 0, 11, 0
54 , 31 , 220, 13, 0, 5
55 , 78 , 215, 0, 0, 7
56 , 551 , 220, 1, 1, 1
57 , 763 , 226, 7, 1, 4
58 , 328 , 238, 8, 0, 2
59 , 55 , 242, 0, 2, 12
60 , 300 , 242, 9, 0, 4
61 , 372 , 244, 17, 0, 6
62 , 23 , 254, 4, 4, 15
63 , 596 , 250, 6, 1, 0
64 , 80 , 250, 1, 1, 6
65 , 547 , 259, 0, 0, 0
66 , 418 , 267, 1, 1, 0
67 , 281 , 267, 4, 1, 9
68 , 333 , 265, 3, 0, 1
69 , 369 , 266, 3, 1, 5
70 , 588 , 271, 2, 1, 0
71 , 44 , 283, 0, 0, 16
72 , 537 , 285, 1, 0, 0
73 , 593 , 297, 1, 3, 1
74 , 411 , 302, 0, 4, 0
75 , 534 , 311, 1, 0, 0
76 , 447 , 326, 4, 5, 0
77 , 637 , 317, 10, 2, 4
78 , 8 , 319, 1, 1, 6
79 , 417 , 328, 0, 2, 0
80 , 630 , 351, 10, 1, 4
81 , 465 , 346, 0, 7, 0
82 , 506 , 358, 1, 0, 0
83 , 422 , 346, 0, 0, 0
84 , 548 , 348, 0, 0, 1
85 , 427 , 368, 0, 0, 0
86 , 527 , 394, 3, 0, 2
87 , 435 , 396, 2, 2, 4
88 , 527 , 424, 3, 0, 3
89 , 388 , 451, 5, 0, 0
90 , 351 , 477, 8, 0, 5
91 , 319 , 494, 2, 0, 10
92 , 399 , 511, 1, 3, 6
93 , 348 , 536, 10, 2, 7
94 , 388 , 544, 7, 2, 6
95 , 786 , 603, 9, 3, 4
96 , 714 , 642, 4, 1, 4
97 , 244 , 667, 8, 2, 36
98 , 707 , 664, 1, 1, 1
99 , 205 , 673, 1, 0, 9
100 , 160 , 671, 0, 1, 8
101 , 744 , 680, 2, 0, 3
102 , 589 , 687, 2, 2, 10
103 , 151 , 684, 3, 0, 5
104 , 433 , 705, 14, 3, 4
105 , 582 , 726, 9, 3, 4
106 , 129 , 745, 6, 2, 6
107 , 439 , 751, 9, 0, 4
108 , 276 , 756, 6, 0, 1
109 , 604 , 758, 2, 1, 8
110 , 649 , 763, 9, 2, 0
111 , 408 , 762, 9, 0, 10
112 , 578 , 769, 0, 0, 6
113 , 217 , 767, 10, 0, 9
114 , 128 , 776, 9, 0, 4
115 , 329 , 769, 0, 1, 12
116 , 443 , 777, 12, 0, 9
117 , 50 , 779, 1, 0, 1
118 , 158 , 781, 3, 0, 6
119 , 34 , 787, 1, 0, 0
