index,X,Y,EGFR,PDGFRA,CDK4
1 , 201 , 6, 0, 3, 0
2 , 272 , 7, 0, 0, 0
3 , 292 , 9, 1, 2, 0
4 , 359 , 8, 0, 0, 0
5 , 409 , 4, 1, 0, 0
6 , 497 , 12, 1, 0, 0
7 , 564 , 7, 0, 0, 0
8 , 612 , 8, 0, 0, 0
9 , 407 , 17, 0, 0, 0
10 , 596 , 28, 1, 0, 0
11 , 378 , 27, 0, 0, 0
12 , 723 , 25, 1, 1, 0
13 , 88 , 34, 1, 0, 0
14 , 515 , 36, 0, 0, 0
15 , 459 , 38, 0, 0, 0
16 , 581 , 45, 1, 0, 0
17 , 392 , 41, 0, 0, 0
18 , 50 , 47, 0, 0, 0
19 , 454 , 55, 0, 0, 0
20 , 489 , 44, 0, 0, 0
21 , 112 , 67, 2, 1, 2
22 , 729 , 53, 2, 0, 0
23 , 365 , 54, 0, 1, 0
24 , 419 , 52, 0, 0, 0
25 , 139 , 58, 0, 0, 0
26 , 591 , 64, 0, 0, 0
27 , 501 , 67, 0, 0, 0
28 , 87 , 82, 2, 0, 0
29 , 739 , 70, 1, 0, 1
30 , 432 , 79, 1, 3, 0
31 , 773 , 88, 1, 0, 0
32 , 301 , 95, 0, 0, 0
33 , 732 , 107, 1, 0, 4
34 , 598 , 111, 0, 1, 8
35 , 248 , 119, 1, 2, 0
36 , 682 , 123, 2, 2, 5
37 , 764 , 118, 1, 0, 0
38 , 14 , 117, 0, 0, 0
39 , 507 , 140, 1, 0, 0
40 , 565 , 133, 1, 1, 0
41 , 728 , 134, 3, 0, 3
42 , 243 , 154, 2, 7, 0
43 , 401 , 142, 0, 1, 0
44 , 172 , 148, 0, 1, 0
45 , 711 , 150, 1, 0, 3
46 , 469 , 149, 4, 1, 0
47 , 771 , 153, 0, 2, 0
48 , 645 , 161, 2, 5, 1
49 , 776 , 184, 4, 0, 1
50 , 431 , 171, 0, 1, 0
51 , 129 , 175, 1, 0, 0
52 , 406 , 184, 3, 2, 0
53 , 376 , 188, 0, 0, 0
54 , 617 , 183, 0, 0, 0
55 , 529 , 183, 0, 0, 0
56 , 232 , 194, 0, 1, 0
57 , 444 , 196, 2, 1, 0
58 , 467 , 204, 2, 1, 0
59 , 124 , 205, 1, 1, 0
60 , 716 , 208, 0, 0, 0
61 , 9 , 211, 0, 0, 0
62 , 303 , 212, 2, 0, 2
63 , 348 , 211, 0, 2, 0
64 , 264 , 217, 1, 0, 0
65 , 137 , 222, 0, 0, 0
66 , 57 , 226, 1, 0, 3
67 , 753 , 240, 1, 0, 0
68 , 370 , 245, 2, 0, 14
69 , 531 , 238, 0, 1, 13
70 , 256 , 248, 1, 0, 5
71 , 667 , 245, 1, 1, 0
72 , 154 , 266, 0, 4, 0
73 , 31 , 254, 0, 0, 0
74 , 723 , 254, 0, 0, 0
75 , 794 , 267, 1, 0, 0
76 , 414 , 270, 1, 0, 12
77 , 774 , 271, 0, 0, 6
78 , 190 , 271, 1, 0, 0
79 , 734 , 277, 2, 0, 0
80 , 93 , 290, 1, 0, 0
81 , 253 , 290, 3, 0, 30
82 , 207 , 293, 2, 0, 1
83 , 14 , 297, 0, 0, 0
84 , 527 , 297, 1, 0, 4
85 , 144 , 298, 0, 0, 0
86 , 692 , 294, 1, 0, 0
87 , 314 , 299, 2, 0, 6
88 , 460 , 298, 0, 0, 11
89 , 499 , 303, 1, 0, 6
90 , 584 , 305, 3, 0, 5
91 , 186 , 306, 3, 1, 1
92 , 364 , 311, 1, 0, 0
93 , 34 , 319, 0, 1, 0
94 , 349 , 325, 2, 0, 2
95 , 252 , 322, 0, 0, 8
96 , 774 , 322, 1, 0, 0
97 , 133 , 326, 0, 0, 10
98 , 295 , 329, 0, 0, 14
99 , 15 , 340, 0, 0, 0
100 , 537 , 350, 2, 2, 36
101 , 271 , 338, 0, 0, 13
102 , 206 , 341, 5, 1, 4
103 , 610 , 336, 0, 2, 0
104 , 86 , 350, 5, 0, 5
105 , 45 , 339, 0, 1, 0
106 , 655 , 343, 2, 0, 1
107 , 304 , 347, 4, 0, 1
108 , 256 , 360, 0, 0, 11
109 , 233 , 366, 0, 0, 21
110 , 581 , 360, 5, 0, 2
111 , 433 , 360, 1, 0, 1
112 , 45 , 368, 1, 0, 7
113 , 170 , 371, 0, 0, 0
114 , 794 , 376, 0, 0, 8
115 , 484 , 368, 0, 0, 0
116 , 418 , 374, 0, 0, 0
117 , 402 , 368, 0, 0, 0
118 , 31 , 381, 1, 0, 0
119 , 755 , 381, 7, 0, 3
120 , 470 , 380, 0, 0, 0
121 , 303 , 386, 1, 0, 4
122 , 373 , 381, 1, 0, 1
123 , 452 , 389, 2, 0, 0
124 , 532 , 388, 0, 0, 0
125 , 102 , 399, 4, 0, 1
126 , 593 , 393, 2, 1, 2
127 , 555 , 396, 5, 0, 0
128 , 13 , 400, 1, 0, 2
129 , 150 , 408, 0, 0, 0
130 , 420 , 415, 3, 0, 1
131 , 53 , 420, 0, 0, 0
132 , 723 , 419, 2, 2, 0
133 , 282 , 415, 0, 0, 0
134 , 532 , 415, 0, 0, 0
135 , 22 , 434, 1, 0, 0
136 , 470 , 419, 0, 1, 0
137 , 392 , 423, 1, 0, 6
138 , 492 , 428, 0, 0, 0
139 , 554 , 426, 2, 0, 0
140 , 155 , 425, 2, 0, 1
141 , 271 , 435, 1, 0, 0
142 , 790 , 432, 1, 1, 7
143 , 667 , 440, 0, 0, 0
144 , 471 , 443, 0, 0, 0
145 , 222 , 441, 0, 0, 0
146 , 423 , 453, 0, 0, 0
147 , 516 , 462, 4, 2, 0
148 , 209 , 451, 0, 0, 1
149 , 71 , 456, 2, 0, 2
150 , 454 , 472, 2, 0, 0
151 , 196 , 458, 1, 0, 0
152 , 144 , 483, 0, 0, 22
153 , 782 , 474, 2, 0, 3
154 , 372 , 473, 4, 0, 5
155 , 26 , 477, 0, 0, 0
156 , 103 , 484, 2, 0, 3
157 , 205 , 486, 1, 0, 12
158 , 591 , 483, 2, 0, 0
159 , 608 , 486, 0, 0, 3
160 , 757 , 488, 3, 1, 1
161 , 468 , 501, 0, 0, 0
162 , 255 , 502, 3, 1, 0
163 , 734 , 497, 2, 0, 2
164 , 663 , 503, 1, 0, 0
165 , 689 , 508, 2, 3, 2
166 , 313 , 509, 0, 0, 7
167 , 623 , 507, 1, 0, 5
168 , 377 , 519, 4, 0, 1
169 , 23 , 514, 1, 0, 2
170 , 569 , 522, 2, 0, 0
171 , 732 , 513, 0, 1, 0
172 , 279 , 529, 2, 0, 3
173 , 332 , 530, 1, 1, 0
174 , 414 , 528, 1, 2, 0
175 , 59 , 527, 1, 0, 2
176 , 78 , 543, 2, 1, 13
177 , 651 , 531, 5, 0, 0
178 , 775 , 534, 2, 0, 0
179 , 551 , 536, 0, 0, 0
180 , 479 , 535, 1, 1, 7
181 , 388 , 546, 3, 1, 0
182 , 116 , 541, 0, 0, 0
183 , 444 , 546, 3, 1, 4
184 , 229 , 542, 0, 0, 0
185 , 705 , 558, 2, 0, 15
186 , 579 , 548, 2, 2, 1
187 , 771 , 559, 2, 1, 1
188 , 265 , 557, 0, 0, 0
189 , 564 , 566, 2, 1, 0
190 , 18 , 574, 4, 1, 5
191 , 468 , 578, 1, 0, 0
192 , 594 , 570, 0, 0, 0
193 , 145 , 574, 0, 0, 0
194 , 235 , 585, 2, 0, 1
195 , 413 , 578, 1, 0, 0
196 , 667 , 584, 1, 0, 0
197 , 379 , 593, 0, 0, 11
198 , 441 , 589, 1, 0, 0
199 , 315 , 603, 0, 0, 0
200 , 692 , 595, 0, 0, 0
201 , 158 , 598, 2, 0, 6
202 , 74 , 616, 0, 0, 15
203 , 565 , 595, 0, 0, 0
204 , 112 , 607, 0, 1, 0
205 , 210 , 600, 0, 0, 8
206 , 23 , 613, 2, 1, 15
207 , 728 , 606, 2, 0, 0
208 , 476 , 616, 3, 1, 2
209 , 610 , 610, 0, 0, 0
210 , 214 , 618, 0, 0, 7
211 , 310 , 622, 0, 0, 0
212 , 194 , 624, 0, 0, 11
213 , 271 , 624, 0, 0, 0
214 , 680 , 629, 5, 2, 0
215 , 728 , 654, 1, 0, 0
