index,X,Y,EGFR,PDGFRA,CDK4
1 , 36 , 11, 0, 0, 0
2 , 281 , 10, 5, 3, 14
3 , 337 , 5, 2, 0, 2
4 , 363 , 13, 3, 0, 10
5 , 416 , 16, 4, 2, 10
6 , 482 , 6, 2, 1, 11
7 , 549 , 12, 2, 0, 1
8 , 620 , 3, 1, 0, 1
9 , 678 , 18, 3, 0, 8
10 , 770 , 14, 3, 0, 10
11 , 790 , 12, 1, 0, 4
12 , 173 , 15, 0, 0, 0
13 , 652 , 18, 2, 2, 8
14 , 200 , 28, 0, 0, 0
15 , 232 , 28, 0, 0, 0
16 , 153 , 60, 0, 1, 0
17 , 209 , 50, 0, 0, 0
18 , 189 , 48, 0, 0, 0
19 , 435 , 53, 1, 0, 12
20 , 406 , 59, 0, 0, 5
21 , 506 , 67, 2, 0, 14
22 , 224 , 74, 4, 0, 15
23 , 748 , 66, 2, 1, 3
24 , 702 , 78, 4, 0, 21
25 , 606 , 78, 3, 0, 10
26 , 537 , 84, 4, 0, 7
27 , 767 , 88, 5, 0, 22
28 , 387 , 82, 4, 0, 7
29 , 12 , 88, 0, 3, 0
30 , 206 , 93, 1, 0, 6
31 , 415 , 91, 0, 1, 4
32 , 501 , 94, 1, 0, 10
33 , 659 , 111, 7, 2, 60
34 , 86 , 101, 0, 0, 0
35 , 383 , 109, 3, 1, 7
36 , 132 , 114, 0, 0, 0
37 , 777 , 122, 1, 0, 2
38 , 589 , 136, 3, 1, 15
39 , 523 , 142, 0, 0, 3
40 , 219 , 145, 2, 1, 27
41 , 51 , 135, 0, 5, 0
42 , 756 , 142, 4, 2, 11
43 , 172 , 145, 0, 1, 0
44 , 424 , 141, 0, 0, 6
45 , 19 , 160, 0, 10, 0
46 , 339 , 155, 0, 0, 2
47 , 502 , 161, 0, 0, 2
48 , 273 , 167, 5, 2, 8
49 , 195 , 179, 2, 0, 3
50 , 129 , 210, 9, 1, 32
51 , 221 , 178, 1, 2, 9
52 , 639 , 194, 1, 0, 13
53 , 524 , 197, 3, 4, 17
54 , 376 , 195, 2, 0, 16
55 , 170 , 208, 1, 0, 12
56 , 417 , 204, 0, 1, 7
57 , 566 , 212, 0, 1, 6
58 , 79 , 224, 0, 0, 0
59 , 264 , 212, 5, 1, 7
60 , 299 , 207, 1, 1, 2
61 , 762 , 222, 0, 0, 4
62 , 618 , 220, 0, 0, 1
63 , 499 , 227, 0, 0, 8
64 , 427 , 225, 0, 0, 9
65 , 199 , 237, 3, 2, 5
66 , 529 , 246, 3, 1, 11
67 , 703 , 246, 4, 1, 6
68 , 497 , 255, 0, 0, 9
69 , 757 , 257, 2, 0, 8
70 , 386 , 259, 0, 1, 1
71 , 557 , 273, 4, 0, 6
72 , 625 , 266, 0, 0, 6
73 , 783 , 270, 0, 0, 3
74 , 155 , 274, 3, 0, 23
75 , 125 , 277, 1, 0, 6
76 , 655 , 279, 0, 0, 3
77 , 748 , 279, 0, 1, 9
78 , 75 , 286, 1, 0, 4
79 , 237 , 281, 0, 0, 4
80 , 315 , 288, 0, 0, 2
81 , 600 , 294, 3, 2, 8
82 , 525 , 294, 1, 0, 11
83 , 23 , 324, 1, 0, 1
84 , 451 , 298, 5, 0, 9
85 , 120 , 311, 4, 3, 16
86 , 186 , 307, 1, 0, 6
87 , 481 , 313, 4, 0, 14
88 , 347 , 315, 2, 0, 2
