index,X,Y,EGFR,PDGFRA,CDK4
1 , 55 , 11, 1, 1, 0
2 , 347 , 7, 3, 0, 13
3 , 457 , 13, 1, 0, 7
4 , 398 , 17, 2, 0, 6
5 , 145 , 36, 9, 1, 7
6 , 319 , 22, 9, 0, 14
7 , 735 , 19, 0, 1, 0
8 , 114 , 30, 6, 0, 2
9 , 361 , 36, 3, 0, 5
10 , 507 , 48, 6, 0, 3
11 , 272 , 37, 4, 0, 5
12 , 584 , 45, 11, 1, 8
13 , 628 , 44, 2, 0, 0
14 , 543 , 61, 4, 2, 9
15 , 209 , 62, 7, 1, 16
16 , 398 , 67, 7, 0, 9
17 , 48 , 56, 4, 0, 1
18 , 107 , 76, 6, 0, 6
19 , 788 , 67, 2, 0, 0
20 , 480 , 78, 3, 0, 10
21 , 370 , 75, 3, 6, 4
22 , 449 , 77, 0, 0, 8
23 , 324 , 91, 4, 0, 8
24 , 356 , 90, 3, 1, 3
25 , 18 , 85, 4, 0, 5
26 , 264 , 107, 11, 1, 12
27 , 582 , 98, 9, 3, 3
28 , 537 , 118, 3, 5, 23
29 , 140 , 93, 5, 1, 2
30 , 203 , 97, 2, 0, 6
31 , 428 , 105, 1, 3, 7
32 , 172 , 104, 8, 5, 6
33 , 59 , 99, 3, 0, 7
34 , 650 , 103, 3, 0, 2
35 , 83 , 117, 3, 0, 3
36 , 24 , 113, 2, 0, 2
37 , 468 , 117, 0, 0, 3
38 , 142 , 123, 6, 0, 15
39 , 56 , 118, 5, 0, 11
40 , 340 , 118, 1, 1, 8
41 , 367 , 120, 6, 1, 10
42 , 405 , 134, 2, 1, 14
43 , 500 , 154, 22, 2, 18
44 , 232 , 139, 5, 1, 4
45 , 788 , 146, 1, 0, 1
46 , 716 , 151, 8, 0, 1
47 , 747 , 158, 4, 2, 1
48 , 32 , 159, 6, 1, 3
49 , 259 , 166, 12, 2, 6
50 , 194 , 172, 11, 5, 7
51 , 318 , 167, 1, 3, 7
52 , 666 , 174, 4, 1, 9
53 , 782 , 171, 1, 1, 0
54 , 124 , 168, 0, 1, 5
55 , 575 , 202, 8, 24, 39
56 , 402 , 176, 2, 6, 3
57 , 23 , 189, 3, 0, 36
58 , 713 , 192, 10, 3, 7
59 , 475 , 192, 2, 1, 5
60 , 251 , 194, 5, 2, 0
61 , 750 , 198, 6, 2, 6
62 , 415 , 203, 10, 1, 1
63 , 118 , 198, 0, 0, 7
64 , 55 , 207, 1, 0, 11
65 , 91 , 201, 1, 0, 5
66 , 645 , 212, 7, 2, 8
67 , 223 , 200, 2, 0, 5
68 , 678 , 218, 5, 1, 7
69 , 780 , 221, 8, 1, 4
70 , 345 , 222, 9, 1, 11
71 , 492 , 217, 5, 1, 9
72 , 531 , 229, 2, 6, 14
73 , 217 , 212, 1, 1, 2
74 , 315 , 213, 1, 0, 7
75 , 145 , 215, 1, 0, 1
76 , 98 , 223, 0, 3, 15
77 , 257 , 234, 4, 0, 9
78 , 309 , 233, 1, 0, 8
79 , 195 , 246, 9, 0, 5
80 , 398 , 238, 4, 0, 2
81 , 26 , 258, 3, 3, 44
82 , 107 , 250, 7, 1, 5
83 , 746 , 246, 5, 0, 8
84 , 574 , 257, 12, 8, 11
85 , 273 , 248, 0, 0, 1
86 , 70 , 252, 3, 0, 1
87 , 660 , 254, 5, 2, 2
88 , 342 , 260, 6, 1, 10
89 , 633 , 253, 3, 0, 1
90 , 499 , 295, 15, 9, 28
91 , 681 , 272, 6, 3, 6
92 , 695 , 258, 2, 3, 1
93 , 645 , 277, 6, 6, 4
94 , 458 , 274, 9, 0, 6
95 , 118 , 275, 6, 1, 1
96 , 215 , 290, 7, 1, 11
97 , 330 , 293, 5, 0, 23
98 , 615 , 289, 12, 6, 8
99 , 436 , 288, 1, 0, 10
100 , 247 , 283, 3, 1, 11
101 , 790 , 290, 1, 0, 2
102 , 761 , 299, 9, 3, 10
103 , 546 , 296, 3, 4, 16
104 , 383 , 301, 6, 2, 7
105 , 69 , 299, 5, 1, 4
106 , 175 , 316, 3, 2, 6
107 , 414 , 311, 6, 0, 5
108 , 274 , 329, 2, 1, 15
109 , 300 , 317, 4, 0, 5
110 , 567 , 314, 3, 4, 2
111 , 431 , 322, 3, 0, 14
112 , 358 , 324, 0, 2, 14
113 , 532 , 329, 3, 7, 6
114 , 659 , 332, 7, 5, 2
115 , 701 , 328, 2, 4, 5
116 , 723 , 342, 5, 4, 5
117 , 106 , 348, 0, 1, 9
118 , 421 , 345, 1, 0, 4
119 , 786 , 358, 4, 0, 6
120 , 764 , 353, 2, 0, 0
121 , 162 , 352, 2, 0, 7
122 , 672 , 368, 8, 6, 8
123 , 138 , 358, 0, 1, 9
124 , 209 , 370, 0, 1, 4
125 , 408 , 365, 3, 0, 5
126 , 740 , 384, 16, 9, 9
127 , 64 , 376, 1, 0, 13
128 , 314 , 375, 3, 6, 4
129 , 638 , 379, 14, 5, 18
130 , 445 , 371, 0, 0, 9
131 , 499 , 371, 1, 0, 5
132 , 127 , 373, 2, 0, 6
133 , 91 , 376, 0, 6, 3
134 , 170 , 375, 1, 3, 4
135 , 287 , 388, 0, 0, 9
136 , 271 , 388, 3, 0, 8
137 , 147 , 389, 0, 0, 11
138 , 14 , 384, 1, 2, 10
139 , 411 , 385, 3, 1, 9
140 , 599 , 398, 1, 2, 13
141 , 29 , 395, 2, 1, 5
142 , 520 , 406, 0, 0, 14
143 , 788 , 401, 1, 0, 1
144 , 370 , 407, 3, 0, 8
145 , 224 , 412, 10, 0, 2
146 , 494 , 414, 0, 2, 11
147 , 407 , 407, 3, 1, 4
148 , 430 , 412, 3, 0, 7
149 , 637 , 410, 4, 6, 4
150 , 306 , 414, 5, 0, 6
151 , 396 , 429, 5, 0, 10
152 , 548 , 433, 3, 0, 10
153 , 711 , 437, 5, 1, 11
154 , 635 , 435, 6, 12, 6
155 , 269 , 439, 5, 0, 10
156 , 585 , 450, 9, 1, 12
157 , 781 , 440, 5, 1, 3
158 , 446 , 447, 1, 0, 4
159 , 13 , 450, 2, 5, 1
160 , 335 , 449, 3, 0, 11
161 , 172 , 449, 2, 4, 11
162 , 639 , 462, 7, 3, 12
163 , 414 , 459, 6, 0, 9
164 , 264 , 475, 4, 0, 11
165 , 337 , 470, 0, 0, 3
166 , 786 , 480, 4, 0, 4
167 , 561 , 482, 2, 0, 9
168 , 102 , 473, 0, 3, 8
169 , 370 , 477, 4, 1, 11
170 , 220 , 488, 6, 1, 6
171 , 284 , 478, 6, 0, 2
172 , 315 , 484, 4, 0, 18
173 , 123 , 481, 1, 3, 9
174 , 396 , 488, 0, 0, 6
175 , 94 , 485, 5, 1, 2
176 , 767 , 493, 4, 1, 9
177 , 295 , 494, 3, 0, 5
178 , 625 , 491, 4, 1, 5
179 , 176 , 499, 0, 4, 2
180 , 342 , 490, 2, 0, 2
181 , 475 , 494, 1, 0, 10
182 , 792 , 508, 4, 0, 4
183 , 368 , 507, 6, 5, 13
184 , 598 , 502, 0, 3, 18
185 , 94 , 499, 3, 0, 0
186 , 239 , 513, 1, 2, 3
187 , 327 , 513, 4, 0, 11
188 , 105 , 512, 3, 0, 2
189 , 285 , 520, 5, 0, 13
190 , 731 , 517, 6, 4, 4
191 , 614 , 520, 4, 0, 8
192 , 214 , 519, 7, 1, 7
193 , 578 , 527, 0, 0, 14
194 , 550 , 527, 3, 0, 10
195 , 522 , 531, 4, 0, 6
196 , 785 , 536, 4, 0, 3
197 , 653 , 531, 2, 0, 7
198 , 717 , 536, 2, 0, 4
199 , 700 , 545, 3, 1, 6
200 , 670 , 540, 6, 0, 3
201 , 214 , 548, 1, 1, 16
202 , 475 , 557, 2, 0, 13
203 , 770 , 550, 1, 0, 0
204 , 293 , 556, 0, 0, 12
205 , 563 , 561, 3, 0, 3
206 , 760 , 582, 5, 0, 12
207 , 282 , 573, 0, 0, 4
208 , 793 , 588, 4, 1, 1
209 , 581 , 588, 0, 0, 14
210 , 662 , 589, 2, 0, 5
211 , 717 , 591, 4, 0, 3
212 , 615 , 591, 5, 0, 3
213 , 631 , 601, 8, 0, 4
214 , 758 , 611, 8, 0, 4
215 , 461 , 614, 11, 4, 1
216 , 223 , 624, 8, 1, 20
217 , 134 , 619, 3, 0, 1
218 , 781 , 635, 6, 1, 7
219 , 186 , 632, 4, 0, 1
220 , 92 , 641, 1, 1, 3
221 , 463 , 635, 1, 1, 8
222 , 603 , 654, 8, 1, 10
223 , 117 , 648, 0, 2, 7
224 , 311 , 649, 11, 5, 7
225 , 747 , 656, 10, 0, 4
226 , 338 , 668, 5, 1, 18
227 , 376 , 669, 3, 0, 10
228 , 236 , 674, 3, 0, 13
229 , 195 , 673, 1, 0, 15
230 , 130 , 671, 3, 0, 6
231 , 266 , 667, 2, 1, 2
232 , 293 , 676, 5, 4, 8
233 , 627 , 668, 2, 0, 4
234 , 493 , 677, 0, 0, 21
235 , 647 , 679, 1, 0, 2
236 , 457 , 686, 2, 0, 1
237 , 29 , 700, 6, 0, 1
238 , 729 , 703, 6, 0, 6
239 , 306 , 705, 3, 11, 2
240 , 619 , 700, 2, 0, 1
241 , 379 , 707, 2, 1, 0
242 , 209 , 716, 7, 2, 2
243 , 279 , 723, 7, 0, 3
244 , 423 , 725, 9, 2, 2
245 , 669 , 726, 8, 7, 13
246 , 602 , 726, 2, 0, 4
247 , 624 , 739, 4, 0, 2
248 , 529 , 763, 7, 1, 0
249 , 664 , 767, 5, 1, 4
250 , 459 , 770, 12, 2, 6
251 , 570 , 773, 2, 0, 1
252 , 555 , 772, 1, 0, 0
253 , 400 , 787, 9, 0, 1
254 , 481 , 786, 0, 0, 5
255 , 203 , 795, 2, 0, 6
