index,X,Y,EGFR,PDGFRA,CDK4
1,549,42,0,1,0
2,508,51,6,2,14
3,794,80,1,0,0
4,742,90,0,0,0
5,450,93,0,3,0
6,771,100,0,0,0
7,730,141,0,2,0
8,748,136,4,3,2
9,707,146,0,0,0
10,702,178,3,0,3
11,618,193,1,1,0
12,635,206,12,1,2
13,326,214,12,1,9
14,297,219,6,1,3
15,671,225,3,0,0
16,229,242,2,1,6
17,180,241,2,0,5
18,254,248,6,1,1
19,626,251,4,0,0
20,663,257,4,0,0
21,602,274,7,4,13
22,210,262,9,2,12
23,95,273,4,0,8
24,140,276,0,0,2
25,108,285,4,2,8
26,221,280,0,0,1
27,313,292,2,1,10
28,78,290,0,1,29
29,26,291,1,2,9
30,213,308,7,2,8
31,160,305,1,0,6
32,413,308,9,0,17
33,567,310,1,2,0
34,458,320,12,2,16
35,112,320,7,2,30
36,329,318,5,1,5
37,201,331,16,0,28
38,349,327,8,2,9
39,39,332,2,0,12
40,241,338,4,0,19
41,325,346,9,3,14
42,489,346,4,1,2
43,64,342,1,0,3
44,466,347,10,0,14
45,361,359,16,1,22
46,149,352,13,2,20
47,264,358,13,1,18
48,219,370,20,2,28
49,556,375,20,0,15
50,397,371,9,0,13
51,626,368,4,0,0
52,330,379,4,4,21
53,431,375,10,0,5
54,44,377,7,0,10
55,113,386,4,0,8
56,275,387,13,0,40
57,461,388,8,0,14
58,628,388,2,1,0
59,376,396,9,0,27
60,249,394,3,0,19
61,67,394,2,0,6
62,24,401,1,1,5
63,564,403,8,1,11
64,192,411,0,1,15
65,590,416,1,0,3
66,353,424,17,1,46
67,225,419,2,1,12
68,500,436,12,2,31
69,470,429,5,1,7
70,117,433,0,0,6
71,477,448,3,0,13
72,561,442,1,0,6
73,63,448,1,3,8
74,329,454,4,1,20
75,398,454,3,0,14
76,291,459,6,0,7
77,451,463,7,0,17
78,267,472,0,0,4
79,100,468,4,0,6
80,354,472,3,0,6
81,497,478,6,0,24
82,306,478,5,0,14
83,375,480,9,0,16
84,218,485,1,0,14
85,130,487,3,0,5
86,344,485,3,1,6
87,408,495,0,0,15
88,285,499,0,0,9
89,476,502,16,1,12
90,535,509,9,0,19
91,444,500,1,0,5
92,339,509,1,0,1
93,394,514,6,0,6
94,555,511,4,0,7
95,456,533,11,0,30
96,326,526,1,0,5
97,259,530,13,1,10
98,427,523,5,0,14
99,561,529,1,0,4
100,632,550,9,1,5
101,285,535,1,0,1
102,311,542,2,0,2
103,214,540,4,1,10
104,426,550,10,0,28
105,389,556,4,0,13
106,106,554,0,0,0
107,299,563,1,2,8
108,559,564,4,1,10
109,209,564,3,1,6
110,517,576,12,0,9
111,264,577,3,0,7
112,646,585,15,7,13
113,228,581,4,0,3
114,536,594,4,1,8
115,382,590,10,0,30
116,336,589,3,1,9
117,694,590,1,2,3
118,413,589,9,0,20
119,450,593,11,0,19
120,555,608,11,1,6
121,258,605,1,0,5
122,490,622,23,1,42
123,348,612,2,0,6
124,431,610,5,1,7
125,194,609,2,0,5
126,510,619,2,1,6
127,331,633,7,0,16
128,393,631,5,0,9
129,173,628,5,0,10
130,552,633,8,0,12
132,358,645,5,1,11
133,382,651,9,0,15
134,543,655,4,2,24
135,519,669,13,1,19
137,42,669,3,2,6
138,381,674,11,0,20
139,424,675,4,0,13
140,170,673,6,0,13
141,363,686,6,0,9
142,602,680,8,3,2
143,466,683,10,0,11
144,438,693,6,0,9
145,535,708,14,3,33
146,575,701,5,1,6
147,400,707,4,0,10
148,457,703,3,0,6
149,562,713,12,0,6
150,434,709,8,0,17
151,507,716,8,1,12
152,390,727,1,0,7
153,434,734,6,0,33
154,116,744,10,1,23
155,594,735,0,0,1
156,155,740,2,1,9
157,472,745,6,1,21
158,71,748,4,0,4
159,495,756,1,1,5
160,406,758,2,2,5
161,521,758,7,0,5
162,454,771,9,1,26
163,52,766,4,0,5
164,540,776,7,0,6
165,590,777,2,0,4
166,515,774,5,0,11
167,75,773,1,0,2
168,114,778,0,0,0
169,409,785,6,0,11
