index,X,Y,EGFR,PDGFRA,CDK4
1 , 158 , 7, 3, 0, 1
2 , 311 , 9, 1, 0, 8
3 , 430 , 8, 2, 0, 4
4 , 477 , 9, 3, 0, 0
5 , 503 , 9, 4, 1, 1
6 , 743 , 17, 3, 0, 6
7 , 325 , 25, 0, 0, 21
8 , 349 , 20, 0, 0, 12
9 , 206 , 24, 1, 0, 1
10 , 625 , 28, 2, 1, 9
11 , 450 , 39, 10, 0, 6
12 , 282 , 32, 0, 0, 5
13 , 535 , 35, 2, 0, 2
14 , 698 , 41, 2, 0, 0
15 , 744 , 44, 3, 0, 6
16 , 293 , 47, 2, 0, 8
17 , 589 , 50, 4, 0, 5
18 , 352 , 54, 5, 0, 12
19 , 385 , 48, 1, 0, 3
20 , 629 , 51, 1, 0, 3
21 , 566 , 55, 1, 0, 7
22 , 300 , 73, 1, 0, 32
23 , 661 , 73, 3, 0, 13
24 , 740 , 65, 1, 0, 1
25 , 52 , 71, 6, 0, 1
26 , 271 , 67, 0, 0, 14
27 , 793 , 66, 1, 1, 0
28 , 181 , 72, 1, 0, 4
29 , 224 , 78, 5, 0, 9
30 , 537 , 73, 0, 0, 11
31 , 131 , 77, 5, 0, 3
32 , 410 , 78, 3, 3, 9
33 , 13 , 80, 5, 0, 2
34 , 721 , 86, 3, 0, 1
35 , 342 , 87, 0, 0, 21
36 , 564 , 85, 4, 1, 13
37 , 395 , 97, 2, 0, 8
38 , 56 , 101, 0, 0, 4
39 , 657 , 100, 4, 0, 2
40 , 295 , 103, 1, 0, 3
41 , 577 , 118, 6, 3, 27
42 , 492 , 113, 2, 0, 7
43 , 716 , 112, 1, 0, 0
44 , 767 , 125, 6, 0, 13
45 , 33 , 120, 4, 0, 2
46 , 260 , 127, 6, 0, 10
47 , 683 , 120, 2, 0, 1
48 , 421 , 129, 1, 0, 10
49 , 110 , 122, 0, 0, 4
50 , 210 , 131, 4, 0, 9
51 , 477 , 137, 4, 1, 11
52 , 302 , 134, 6, 1, 3
53 , 91 , 139, 1, 1, 17
54 , 375 , 142, 3, 0, 6
55 , 14 , 148, 4, 0, 2
56 , 693 , 182, 6, 0, 3
57 , 162 , 160, 0, 0, 10
58 , 328 , 170, 0, 0, 23
59 , 72 , 164, 1, 0, 7
60 , 514 , 179, 0, 0, 9
61 , 367 , 184, 3, 1, 5
62 , 42 , 184, 1, 0, 18
63 , 388 , 194, 0, 0, 17
64 , 577 , 191, 0, 0, 13
65 , 311 , 195, 0, 0, 14
66 , 552 , 193, 2, 1, 7
67 , 772 , 194, 2, 0, 4
68 , 271 , 200, 3, 0, 7
69 , 123 , 216, 0, 0, 27
70 , 465 , 218, 1, 0, 16
71 , 224 , 222, 1, 0, 12
72 , 586 , 216, 0, 0, 10
73 , 523 , 215, 0, 0, 7
74 , 542 , 220, 1, 0, 8
75 , 8 , 231, 4, 0, 3
76 , 48 , 236, 0, 0, 32
77 , 779 , 230, 6, 1, 6
78 , 279 , 227, 0, 0, 7
79 , 437 , 245, 1, 0, 17
80 , 344 , 247, 6, 0, 3
81 , 381 , 237, 2, 0, 1
82 , 727 , 249, 4, 0, 5
83 , 102 , 252, 3, 0, 37
84 , 196 , 258, 8, 0, 12
85 , 284 , 253, 3, 1, 9
86 , 467 , 246, 0, 0, 10
87 , 654 , 257, 4, 0, 27
88 , 382 , 274, 13, 0, 10
89 , 160 , 272, 0, 0, 13
90 , 331 , 265, 1, 0, 6
91 , 330 , 295, 5, 0, 32
92 , 241 , 283, 5, 0, 14
93 , 566 , 281, 0, 0, 6
94 , 280 , 290, 4, 0, 7
95 , 115 , 300, 7, 0, 22
96 , 639 , 285, 0, 0, 0
97 , 300 , 284, 1, 0, 2
98 , 196 , 306, 7, 0, 19
99 , 260 , 297, 1, 0, 1
100 , 515 , 307, 1, 0, 4
101 , 353 , 319, 4, 0, 1
102 , 245 , 312, 0, 0, 11
103 , 564 , 314, 2, 0, 1
104 , 612 , 320, 6, 1, 3
105 , 42 , 324, 1, 0, 15
106 , 379 , 332, 10, 0, 9
107 , 539 , 342, 10, 0, 12
108 , 466 , 330, 2, 0, 2
109 , 628 , 338, 6, 0, 1
110 , 567 , 331, 0, 0, 0
111 , 592 , 342, 3, 0, 2
112 , 740 , 350, 6, 0, 18
113 , 70 , 343, 2, 0, 13
114 , 399 , 350, 3, 0, 4
115 , 418 , 348, 1, 0, 4
116 , 191 , 345, 1, 0, 6
117 , 164 , 346, 2, 0, 3
118 , 100 , 365, 0, 3, 0
119 , 711 , 378, 7, 0, 7
120 , 223 , 372, 2, 2, 0
121 , 24 , 378, 0, 0, 0
122 , 393 , 374, 9, 0, 12
123 , 334 , 380, 0, 1, 10
124 , 612 , 389, 0, 1, 32
125 , 667 , 397, 9, 0, 11
126 , 498 , 397, 0, 0, 20
127 , 523 , 392, 0, 0, 22
128 , 137 , 397, 0, 3, 0
129 , 171 , 402, 0, 0, 1
130 , 388 , 403, 4, 0, 3
131 , 580 , 406, 2, 0, 7
132 , 426 , 410, 0, 0, 11
133 , 114 , 415, 0, 1, 0
134 , 74 , 407, 0, 0, 0
135 , 204 , 419, 0, 0, 0
136 , 711 , 407, 1, 0, 5
137 , 7 , 414, 1, 1, 0
138 , 406 , 426, 5, 1, 3
139 , 272 , 422, 0, 0, 0
140 , 28 , 426, 0, 0, 0
141 , 572 , 429, 0, 0, 12
142 , 514 , 435, 0, 0, 10
143 , 632 , 434, 0, 0, 10
144 , 707 , 446, 1, 1, 22
145 , 542 , 438, 0, 0, 10
146 , 301 , 440, 0, 1, 0
147 , 653 , 441, 0, 0, 0
148 , 428 , 447, 0, 0, 2
149 , 67 , 449, 0, 3, 0
150 , 623 , 457, 2, 4, 17
151 , 783 , 455, 0, 0, 16
152 , 245 , 459, 1, 2, 0
153 , 556 , 452, 1, 0, 8
154 , 753 , 459, 5, 0, 15
155 , 475 , 467, 1, 0, 20
156 , 121 , 458, 0, 0, 0
157 , 102 , 464, 0, 0, 0
158 , 650 , 461, 2, 0, 6
159 , 382 , 468, 3, 0, 19
160 , 77 , 469, 0, 1, 0
161 , 526 , 479, 6, 0, 5
162 , 316 , 480, 5, 2, 8
163 , 25 , 482, 0, 1, 0
164 , 273 , 475, 0, 1, 0
165 , 700 , 486, 3, 0, 4
166 , 789 , 497, 5, 1, 8
167 , 201 , 492, 0, 2, 0
168 , 724 , 495, 0, 0, 8
169 , 407 , 497, 2, 0, 7
170 , 555 , 507, 6, 0, 4
171 , 600 , 504, 6, 0, 15
172 , 768 , 514, 3, 0, 6
173 , 182 , 507, 1, 0, 0
174 , 267 , 511, 2, 0, 7
175 , 313 , 509, 1, 1, 6
176 , 678 , 515, 1, 0, 16
177 , 295 , 523, 2, 0, 17
178 , 573 , 524, 0, 0, 9
179 , 628 , 529, 4, 0, 12
180 , 489 , 533, 5, 0, 6
181 , 657 , 525, 0, 0, 3
182 , 267 , 540, 0, 0, 19
183 , 15 , 537, 0, 2, 0
184 , 433 , 543, 11, 0, 7
185 , 793 , 546, 2, 0, 3
186 , 745 , 557, 4, 0, 5
187 , 546 , 559, 0, 0, 30
188 , 244 , 558, 0, 0, 8
189 , 303 , 558, 3, 0, 0
190 , 8 , 562, 1, 0, 0
191 , 40 , 584, 1, 5, 0
192 , 427 , 573, 0, 0, 23
193 , 209 , 581, 8, 0, 8
194 , 318 , 577, 2, 0, 3
195 , 785 , 585, 6, 0, 10
196 , 232 , 580, 1, 0, 2
197 , 80 , 591, 0, 2, 0
198 , 145 , 589, 0, 0, 0
199 , 339 , 593, 5, 0, 5
200 , 503 , 585, 0, 0, 6
201 , 619 , 594, 0, 0, 23
202 , 363 , 601, 3, 0, 5
203 , 248 , 608, 1, 1, 2
204 , 92 , 617, 0, 1, 0
205 , 563 , 618, 3, 0, 18
206 , 11 , 620, 0, 1, 0
207 , 409 , 619, 1, 0, 10
208 , 139 , 618, 1, 0, 1
209 , 489 , 629, 3, 0, 11
210 , 169 , 631, 3, 1, 2
211 , 337 , 632, 3, 0, 3
212 , 265 , 630, 5, 0, 2
213 , 310 , 629, 0, 0, 10
214 , 720 , 638, 1, 0, 19
215 , 460 , 640, 2, 0, 4
216 , 426 , 648, 6, 0, 3
217 , 185 , 655, 3, 0, 9
218 , 208 , 662, 0, 1, 9
219 , 546 , 661, 4, 0, 8
220 , 750 , 662, 3, 1, 16
221 , 458 , 664, 2, 1, 7
222 , 153 , 672, 6, 0, 15
223 , 574 , 673, 2, 0, 6
224 , 287 , 679, 1, 1, 19
225 , 670 , 681, 3, 0, 6
