index,X,Y,EGFR,PDGFRA,CDK4
1 , 598 , 194, 1, 7, 8
2 , 554 , 208, 2, 5, 24
3 , 382 , 176, 4, 4, 2
4 , 660 , 202, 3, 4, 2
5 , 627 , 194, 0, 1, 1
6 , 717 , 207, 3, 4, 0
7 , 16 , 221, 1, 1, 5
8 , 637 , 229, 0, 0, 4
9 , 509 , 227, 4, 0, 3
10 , 486 , 237, 0, 4, 2
11 , 435 , 229, 0, 0, 6
12 , 769 , 235, 8, 0, 0
13 , 464 , 235, 0, 5, 5
14 , 529 , 240, 0, 2, 0
15 , 691 , 238, 1, 1, 1
16 , 377 , 243, 1, 0, 0
17 , 678 , 251, 1, 0, 7
18 , 225 , 257, 1, 2, 0
19 , 549 , 272, 1, 8, 5
20 , 316 , 260, 2, 6, 2
21 , 760 , 261, 4, 2, 0
22 , 338 , 276, 10, 6, 5
23 , 626 , 263, 0, 0, 2
24 , 439 , 280, 4, 9, 2
25 , 598 , 294, 0, 5, 14
26 , 720 , 272, 0, 1, 2
27 , 129 , 267, 0, 1, 2
28 , 258 , 266, 3, 0, 0
29 , 241 , 268, 0, 0, 1
30 , 663 , 272, 0, 5, 6
31 , 159 , 272, 0, 0, 0
32 , 202 , 274, 1, 0, 0
33 , 108 , 282, 1, 1, 3
34 , 174 , 275, 1, 3, 3
35 , 687 , 292, 0, 3, 5
36 , 466 , 293, 1, 6, 9
37 , 735 , 292, 0, 0, 3
38 , 398 , 289, 4, 1, 0
39 , 140 , 288, 1, 5, 7
40 , 302 , 294, 0, 5, 3
41 , 181 , 300, 4, 1, 2
42 , 791 , 297, 0, 0, 0
43 , 274 , 298, 3, 0, 2
44 , 116 , 295, 0, 2, 0
45 , 82 , 296, 5, 4, 0
46 , 219 , 299, 5, 0, 5
47 , 649 , 301, 3, 1, 0
48 , 146 , 305, 0, 6, 2
49 , 702 , 311, 0, 0, 2
50 , 392 , 311, 6, 1, 0
51 , 723 , 323, 0, 0, 7
52 , 642 , 321, 0, 0, 5
53 , 406 , 326, 0, 6, 7
54 , 345 , 322, 0, 1, 3
55 , 694 , 328, 2, 1, 0
56 , 105 , 345, 11, 2, 10
57 , 318 , 334, 0, 2, 7
58 , 280 , 346, 4, 8, 18
59 , 584 , 335, 5, 5, 0
60 , 607 , 334, 2, 6, 3
61 , 252 , 352, 6, 9, 8
62 , 669 , 340, 0, 0, 0
63 , 178 , 349, 7, 4, 0
64 , 751 , 341, 0, 0, 0
65 , 216 , 349, 3, 2, 0
66 , 492 , 346, 0, 0, 4
67 , 688 , 347, 0, 0, 1
68 , 651 , 354, 1, 4, 0
69 , 349 , 363, 2, 6, 13
70 , 391 , 349, 0, 1, 5
71 , 138 , 360, 7, 4, 2
72 , 607 , 364, 0, 2, 4
73 , 498 , 371, 1, 4, 5
74 , 226 , 366, 4, 2, 0
75 , 431 , 365, 0, 4, 7
76 , 455 , 374, 1, 9, 10
77 , 549 , 379, 5, 3, 5
78 , 687 , 367, 0, 0, 3
79 , 789 , 363, 0, 0, 2
80 , 626 , 372, 0, 0, 5
81 , 295 , 371, 1, 0, 6
82 , 707 , 374, 0, 0, 6
83 , 753 , 390, 0, 0, 4
84 , 391 , 397, 0, 0, 3
85 , 337 , 389, 4, 3, 2
86 , 660 , 392, 0, 0, 2
87 , 725 , 398, 0, 0, 15
88 , 310 , 399, 10, 2, 0
89 , 690 , 419, 3, 8, 7
90 , 116 , 404, 3, 0, 5
91 , 568 , 402, 5, 1, 1
92 , 219 , 406, 1, 1, 4
93 , 256 , 410, 8, 2, 2
94 , 355 , 411, 3, 3, 2
95 , 490 , 414, 2, 3, 3
96 , 80 , 414, 3, 4, 1
97 , 326 , 416, 7, 4, 1
98 , 743 , 415, 0, 0, 4
99 , 343 , 426, 3, 4, 5
100 , 299 , 433, 12, 4, 0
101 , 779 , 423, 0, 0, 4
102 , 442 , 431, 0, 6, 4
103 , 109 , 431, 3, 4, 3
104 , 261 , 441, 11, 7, 3
105 , 461 , 433, 0, 0, 0
106 , 390 , 445, 4, 3, 1
107 , 713 , 448, 1, 5, 2
108 , 553 , 446, 0, 0, 8
109 , 92 , 448, 2, 2, 1
110 , 340 , 454, 3, 4, 3
111 , 362 , 454, 1, 1, 2
112 , 123 , 463, 1, 2, 4
113 , 63 , 468, 7, 3, 0
114 , 442 , 474, 6, 5, 5
115 , 170 , 475, 4, 0, 2
116 , 723 , 473, 4, 7, 2
117 , 509 , 473, 0, 0, 3
118 , 782 , 475, 0, 2, 3
119 , 685 , 481, 0, 3, 2
120 , 763 , 478, 3, 0, 0
121 , 150 , 489, 5, 3, 2
122 , 246 , 485, 4, 2, 0
123 , 496 , 490, 2, 1, 1
124 , 194 , 502, 17, 1, 4
125 , 415 , 494, 0, 0, 6
126 , 261 , 498, 0, 0, 9
127 , 281 , 502, 3, 2, 3
128 , 359 , 500, 0, 4, 11
129 , 634 , 505, 0, 4, 14
130 , 717 , 500, 0, 0, 0
131 , 472 , 510, 2, 0, 7
132 , 684 , 512, 0, 0, 2
133 , 560 , 518, 4, 2, 3
134 , 534 , 528, 6, 1, 1
135 , 382 , 526, 10, 3, 0
136 , 643 , 527, 4, 9, 5
137 , 585 , 530, 4, 2, 0
138 , 71 , 529, 5, 0, 1
139 , 143 , 528, 2, 2, 1
140 , 286 , 534, 11, 3, 1
141 , 682 , 536, 0, 2, 12
142 , 711 , 531, 2, 1, 7
143 , 769 , 546, 0, 2, 22
144 , 520 , 550, 2, 0, 4
145 , 171 , 555, 0, 5, 7
146 , 600 , 553, 0, 1, 7
147 , 288 , 557, 4, 1, 0
148 , 17 , 564, 5, 0, 0
149 , 356 , 568, 5, 1, 2
150 , 51 , 574, 11, 1, 10
151 , 522 , 568, 0, 1, 18
152 , 135 , 576, 16, 2, 4
153 , 620 , 575, 5, 4, 5
154 , 578 , 573, 4, 3, 2
