index,X,Y,EGFR,PDGFRA,CDK4
1 , 492 , 13, 1, 0, 1
2 , 656 , 17, 3, 0, 3
3 , 167 , 15, 2, 0, 8
4 , 353 , 14, 1, 0, 2
5 , 441 , 19, 3, 0, 1
6 , 100 , 31, 3, 0, 0
7 , 239 , 36, 0, 0, 19
8 , 516 , 42, 2, 0, 1
9 , 85 , 51, 1, 0, 0
10 , 353 , 73, 0, 0, 7
11 , 379 , 99, 7, 0, 20
12 , 132 , 92, 2, 0, 4
13 , 346 , 102, 0, 0, 3
14 , 143 , 111, 2, 0, 2
15 , 358 , 123, 0, 1, 14
16 , 427 , 122, 5, 1, 0
17 , 326 , 126, 1, 0, 15
18 , 403 , 128, 1, 0, 5
19 , 390 , 146, 9, 1, 10
20 , 113 , 138, 2, 0, 11
21 , 331 , 148, 0, 1, 7
22 , 92 , 146, 3, 0, 8
23 , 170 , 150, 7, 0, 7
24 , 200 , 151, 0, 0, 0
25 , 101 , 167, 2, 0, 5
26 , 31 , 171, 2, 0, 0
27 , 77 , 171, 0, 0, 1
28 , 149 , 180, 2, 0, 2
29 , 446 , 188, 2, 1, 1
30 , 245 , 190, 3, 0, 2
31 , 464 , 194, 0, 2, 0
32 , 750 , 187, 2, 0, 0
33 , 77 , 193, 1, 0, 6
34 , 408 , 204, 0, 0, 10
35 , 637 , 208, 4, 6, 1
36 , 58 , 211, 1, 0, 0
37 , 522 , 209, 5, 0, 5
38 , 259 , 214, 4, 0, 9
39 , 313 , 219, 4, 0, 6
40 , 490 , 219, 3, 0, 4
41 , 361 , 223, 2, 0, 3
42 , 461 , 228, 1, 0, 12
43 , 545 , 226, 1, 0, 14
44 , 327 , 233, 0, 0, 3
45 , 300 , 233, 0, 0, 1
46 , 243 , 235, 0, 0, 4
47 , 186 , 240, 0, 0, 11
48 , 304 , 254, 0, 0, 8
49 , 262 , 259, 0, 0, 12
50 , 454 , 258, 3, 0, 5
51 , 564 , 260, 1, 0, 9
52 , 174 , 265, 1, 1, 3
53 , 696 , 265, 3, 0, 3
54 , 431 , 273, 6, 0, 2
55 , 561 , 280, 8, 0, 5
56 , 326 , 283, 1, 0, 15
57 , 63 , 302, 2, 0, 28
58 , 237 , 287, 2, 0, 5
59 , 784 , 294, 1, 1, 0
60 , 665 , 296, 5, 1, 6
61 , 444 , 304, 0, 0, 6
62 , 218 , 305, 5, 0, 16
63 , 493 , 309, 1, 0, 16
64 , 658 , 315, 0, 0, 25
65 , 704 , 314, 0, 0, 2
66 , 363 , 325, 1, 0, 4
67 , 790 , 334, 4, 0, 18
68 , 5 , 336, 0, 0, 0
69 , 120 , 351, 2, 0, 5
70 , 168 , 352, 0, 0, 5
71 , 699 , 356, 10, 0, 7
72 , 215 , 361, 0, 0, 3
73 , 646 , 376, 0, 1, 5
74 , 90 , 373, 0, 0, 16
75 , 429 , 367, 3, 0, 2
76 , 677 , 385, 0, 1, 13
77 , 418 , 381, 1, 0, 0
78 , 606 , 391, 2, 0, 13
79 , 440 , 388, 4, 0, 3
80 , 254 , 395, 4, 0, 10
81 , 589 , 389, 6, 0, 5
82 , 279 , 409, 0, 0, 16
83 , 407 , 407, 4, 0, 7
84 , 354 , 418, 0, 0, 5
85 , 649 , 415, 5, 0, 9
86 , 58 , 418, 0, 1, 0
87 , 109 , 423, 3, 0, 6
88 , 742 , 426, 0, 0, 3
89 , 444 , 442, 3, 0, 13
90 , 670 , 450, 5, 0, 4
91 , 491 , 449, 0, 0, 7
92 , 319 , 453, 0, 0, 14
93 , 579 , 453, 1, 1, 0
94 , 399 , 463, 0, 0, 7
95 , 335 , 464, 2, 0, 3
96 , 456 , 470, 0, 0, 13
97 , 721 , 485, 0, 0, 4
98 , 228 , 483, 1, 0, 4
99 , 286 , 484, 7, 0, 14
100 , 707 , 494, 3, 1, 15
101 , 97 , 512, 1, 0, 2
